"Advanced Inventory","المخزون المتقدم"
"Manage Stock","إدارة المخزون"
"Yes","نعم"
"No","لا"
"Use Config Settings","استخدام اعداد الاعدادات"
"[GLOBAL]","[عام]"
"Qty","الكميّة"
"Out-of-Stock Threshold","حدود انتهاء المخزون"
"Minimum Qty Allowed in Shopping Cart","الكمية الدنيا المسموح بها في سلة التسوق"
"Maximum Qty Allowed in Shopping Cart","الكمية القصوى المسموح بها في سلة التسوق"
"Qty Uses Decimals","كمية تستخدم ارقام عشرية"
"Allow Multiple Boxes for Shipping","السماح بصناديق متعددة للشحن"
"Backorders","طلبات لمنتجات غير متوفرة"
"Use deferred Stock update","Use deferred Stock update"
"Notify for Quantity Below","اخطار لكمية ادناه"
"Enable Qty Increments","تمكين زيادة الكميات"
"Qty Increments","زيادة الكميات"
"Stock Availability","توفر المخزون"
"Use Deferred Stock Update","استخدام تحديث المخزون المؤجل"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
