"Advanced Inventory","Inventário Avançado"
"Manage Stock","Gerir Stock"
"Yes","Sim"
"No","Não"
"Use Config Settings","Usar Definições de Configuração"
"[GLOBAL]","[GLOBAL]"
"Qty","Qtd"
"Out-of-Stock Threshold","Limite mínimo de Stock"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida no Carrinho de Compras"
"Maximum Qty Allowed in Shopping Cart","Qtd máxima permitida no carrinho de compras"
"Qty Uses Decimals","Qtd É Décimal"
"Allow Multiple Boxes for Shipping","Permitir Várias Caixas para o Transporte"
"Backorders","Encomendas pendentes"
"Use deferred Stock update","Usar atualização de Stock atrasada"
"Notify for Quantity Below","Notificar quando a quantidade for inferior a"
"Enable Qty Increments","Ativar Incrementos de Qtd"
"Qty Increments","Incrementos de Qtd"
"Stock Availability","Disponibilidade de Stock"
"Use Deferred Stock Update","Utilizar Atualização de Stock Atrasado"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
