"Advanced Inventory","Inventario avanzado"
"Manage Stock","Gestionar existencias"
"Yes","Sí"
"No","No 	"
"Use Config Settings","Usar opciones de configuración"
"[GLOBAL]","[GLOBAL]"
"Qty","Cantidad"
"Out-of-Stock Threshold","Umbral fuera de Stock"
"Minimum Qty Allowed in Shopping Cart","Cantidad Mínima Permitida en la Cesta de Compra"
"Maximum Qty Allowed in Shopping Cart","Cantidad Máxima Permitida en la Cesta del Carrito"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Allow Multiple Boxes for Shipping","Permitir varios paquetes para envío"
"Backorders","Pedidos pendientes"
"Use deferred Stock update","Utilizar actualización de valores diferido"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Qty Increments","Incrementos de cantidad"
"Stock Availability","Disponibilidad de inventario"
"Use Deferred Stock Update","Utilizar actualización de valores diferido"
"Allow Multiple Boxes for Shipping.","Permitir múltiples cajas para envío."
