"Advanced Inventory","موجودی پیشرفته"
"Manage Stock","مديريت موجودی"
"Yes","بله"
"No","خیر"
"Use Config Settings","استفاده از تنظیمات پیکربندی"
"[GLOBAL]","[سراسری]"
"Qty","تعداد"
"Out-of-Stock Threshold","آستانه خارج از موجودی"
"Minimum Qty Allowed in Shopping Cart","حداقل تعداد مجاز در سبد خريد"
"Maximum Qty Allowed in Shopping Cart","حداکثر تعداد مجاز در سبد خرید"
"Qty Uses Decimals","مقدار تعداد از اعشار استفاده می کند"
"Allow Multiple Boxes for Shipping","جعبه های متعدد برای ارسال"
"Backorders","سفارش های برگشت داده شده"
"Use deferred Stock update","بروزرسانی موجودی های معوقه"
"Notify for Quantity Below","اخطار برای تعداد کمتر از"
"Enable Qty Increments","فعالسازی افزايش تعداد"
"Qty Increments","افزایش تعداد"
"Stock Availability","دسترسي موجودی"
"Use Deferred Stock Update","بروزرسانی موجودی های معوقه"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
