"Advanced Inventory","Avansert lager"
"Manage Stock","Administrer lager"
"Yes","Ja"
"No","Nei"
"Use Config Settings","Bruk konfigurasjonsinnstillinger"
"[GLOBAL]","[GLOBAL]"
"Qty","Antall"
"Out-of-Stock Threshold","Ut-av-lager terskel"
"Minimum Qty Allowed in Shopping Cart","Minimum antall tillatt i handlekurv"
"Maximum Qty Allowed in Shopping Cart","Maksimum antall tillatt i handlekurv"
"Qty Uses Decimals","Antall bruker desimaler"
"Allow Multiple Boxes for Shipping","Tillat flere esker for levering"
"Backorders","Restordre"
"Use deferred Stock update","Use deferred Stock update"
"Notify for Quantity Below","Varsle om antall nedenfor"
"Enable Qty Increments","Aktiver antall intervaller"
"Qty Increments","Antall intervaller"
"Stock Availability","Lagertilgjengelighet"
"Use Deferred Stock Update","Use Deferred Stock Update"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
