"Advanced Inventory","מלאי מתקדם"
"Manage Stock","ניהול מלאי"
"Yes","כן"
"No","לא"
"Use Config Settings","השתמש בהגדרות הראשיות"
"[GLOBAL]","[גלובלי]"
"Qty","כמות"
"Out-of-Stock Threshold","מספר מינימילי של אזל מהמלאי"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המותרת בעגלת הקניות"
"Maximum Qty Allowed in Shopping Cart","כמות מרבית המותרת בעגלת הקניות"
"Qty Uses Decimals","כמות משתמשת בנקודה עשרונית"
"Allow Multiple Boxes for Shipping","אפשר משלוח במספר חבילות"
"Backorders","ממתינים"
"Use deferred Stock update","להשתמש בעדכון המלאי שנדחה"
"Notify for Quantity Below","הודעה עבור כמות מתחת"
"Enable Qty Increments","לאפשר כמות בהפרשים קבועים"
"Qty Increments","כמות בהפרשים קבועים"
"Stock Availability","זמינות המלאי"
"Use Deferred Stock Update","להשתמש בעדכון המלאי שנדחה"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
