"Advanced Inventory","Inventaire avancé"
"Manage Stock","Gérer les stocks"
"Yes","Oui"
"No","Non"
"Use Config Settings","Utilisez les paramètres de configuration"
"[GLOBAL]","[GLOBAL]"
"Qty","Qté"
"Out-of-Stock Threshold","Seuil de rupture de Stock"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Qty Uses Decimals","La quantité utilise des décimales"
"Allow Multiple Boxes for Shipping","Autoriser plusieurs colisages pour l'expédition"
"Backorders","Commande en rupture de stock"
"Use deferred Stock update","Utiliser les mises à jour de stock différées"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"Enable Qty Increments","Activer les incréments de quantités"
"Qty Increments","Incréments de quantités"
"Stock Availability","Disponibilité"
"Use Deferred Stock Update","Utiliser les mises à jour de stock différées"
"Allow Multiple Boxes for Shipping.","Autoriser plusieurs colis à expédier."
