"Advanced Inventory","Расширенный инвентарь"
"Manage Stock","Управление наличием"
"Yes","Да"
"No","Нет"
"Use Config Settings","Использовать Настройки Конфигурации"
"[GLOBAL]","[ГЛОБАЛЬНО]"
"Qty","Кол-во"
"Out-of-Stock Threshold","Порог из запасов"
"Minimum Qty Allowed in Shopping Cart","Минимальное Кол-во в корзину"
"Maximum Qty Allowed in Shopping Cart","Максимальное кол-во в корзину"
"Qty Uses Decimals","Количество использует десятичные дроби"
"Allow Multiple Boxes for Shipping","Разрешить несколько коробок для доставки"
"Backorders","Предзаказы"
"Use deferred Stock update","Use deferred Stock update"
"Notify for Quantity Below","Уведомления для количества ниже"
"Enable Qty Increments","Включение Qty с шагом"
"Qty Increments","Qty с шагом"
"Stock Availability","Наличие на складе"
"Use Deferred Stock Update","Use Deferred Stock Update"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
