"Advanced Inventory","Inventar avansat"
"Manage Stock","Gestionare stoc"
"Yes","Da"
"No","Nu"
"Use Config Settings","Utilizați setările de configurare"
"[GLOBAL]","[GLOBAL]"
"Qty","Cantitate"
"Out-of-Stock Threshold","Prag epuizare din stoc"
"Minimum Qty Allowed in Shopping Cart","Cantitatea minimă permisă în coşul de cumpărături"
"Maximum Qty Allowed in Shopping Cart","Cantitatea maximă permisă în coşul de cumpărături"
"Qty Uses Decimals","Cantitatea folosește zecimale"
"Allow Multiple Boxes for Shipping","Permite casete multiple pentru livrare"
"Backorders","Comenzi în așteptare"
"Use deferred Stock update","Folosește actualizare stoc amânată"
"Notify for Quantity Below","Notificați pentru cantitate mai jos"
"Enable Qty Increments","Activați creșteri cantitate"
"Qty Increments","Creșteri de cantitate"
"Stock Availability","Disponibilitate stoc"
"Use Deferred Stock Update","Folosește Actualizare Stoc Amânat"
"Allow Multiple Boxes for Shipping.","Permite casete multiple pentru livrare."
