"Advanced Inventory","Estoque Avançado"
"Manage Stock","Gerenciar Estoque"
"Yes","Sim"
"No","Não"
"Use Config Settings","Usar Configurações padrão"
"[GLOBAL]","[GLOBAL]"
"Qty","Qtd"
"Out-of-Stock Threshold","Indisponível no estoque"
"Minimum Qty Allowed in Shopping Cart","Quantidade Mínima Permitida no Carrinho"
"Maximum Qty Allowed in Shopping Cart","Quantidade Máxima Permitida no Carrinho"
"Qty Uses Decimals","Qtd Usa Casas Decimais"
"Allow Multiple Boxes for Shipping","Permitir Várias Caixas para o Transporte"
"Backorders","Pedidos pendentes"
"Use deferred Stock update","Usar atualização de Estoque atrasada"
"Notify for Quantity Below","Notificar para Quantidade Abaixo"
"Enable Qty Increments","Habilitar os Incrementos de Qtd"
"Qty Increments","Incrementos de Qtd"
"Stock Availability","Disponibilidade de Estoque"
"Use Deferred Stock Update","Usar Atualização de Estoque Atrasada"
"Allow Multiple Boxes for Shipping.","Permitir vários pacotes para envio."
