"Advanced Inventory","Gelişmiş Envanter"
"Manage Stock","Stok Yönetimi"
"Yes","Evet"
"No","Hayır"
"Use Config Settings","Yapılandırma Ayarlarını Kullan"
"[GLOBAL]","[GENEL]"
"Qty","Miktar"
"Out-of-Stock Threshold","Belirtilen stok dışı"
"Minimum Qty Allowed in Shopping Cart","Sepette izin verilen en düşük miktar"
"Maximum Qty Allowed in Shopping Cart","Sepette izin verilen en yüksek miktar"
"Qty Uses Decimals","Miktarda Ondalık Kullan"
"Allow Multiple Boxes for Shipping","Nakliye için Birden Çok Kutuya İzin Ver"
"Backorders","Ön Siparişler"
"Use deferred Stock update","Ertelenmiş Stok güncelleme kullanın"
"Notify for Quantity Below","Miktar Aşağısını Bildir"
"Enable Qty Increments","Miktar Arttırımını Aktif et"
"Qty Increments","Miktar Arttırımı"
"Stock Availability","Stok Durumu"
"Use Deferred Stock Update","Ertelenmiş Stok Güncellemeyi Kullan"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
