"Advanced Inventory","拡張在庫設定"
"Manage Stock","在庫管理"
"Yes","はい"
"No","いいえ"
"Use Config Settings","設定を使用"
"[GLOBAL]","[グローバル]"
"Qty","個数"
"Out-of-Stock Threshold","在庫切れ限界値"
"Minimum Qty Allowed in Shopping Cart","カートの中で許可する最小個数"
"Maximum Qty Allowed in Shopping Cart","カートの中で許可する最大個数"
"Qty Uses Decimals","個数に小数表記を使う"
"Allow Multiple Boxes for Shipping","配送に複数のボックスを許可する"
"Backorders","バックオーダー"
"Use deferred Stock update","繰延在庫更新を使用する"
"Notify for Quantity Below","これ以下の数量になれば通知"
"Enable Qty Increments","個数の増分を許可する"
"Qty Increments","個数の増分"
"Stock Availability","在庫の有無"
"Use Deferred Stock Update","繰延在庫更新を使用する"
"Allow Multiple Boxes for Shipping.","複数のボックスは、出荷許可にします。"
