"Advanced Inventory","Προηγμένο Απόθεμα"
"Manage Stock","Διαχείριση Αποθεμάτων"
"Yes","Ναί"
"No","Όχι"
"Use Config Settings","Χρήση Ρυθμίσεων Παραμέτρων"
"[GLOBAL]","[ΚΑΘΟΛΙΚΟ]"
"Qty","Ποσότητα"
"Out-of-Stock Threshold","Όριο εκτός αποθέματος"
"Minimum Qty Allowed in Shopping Cart","Ελάχιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"Maximum Qty Allowed in Shopping Cart","Μέγιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"Qty Uses Decimals","Η Ποσ. χρησιμοποιεί δεκαδικά ψηφία"
"Allow Multiple Boxes for Shipping","Επιτρέπονται Πολλαπλά Πλαίσια για τη Αποστολή"
"Backorders","Προπαραγγελίες"
"Use deferred Stock update","Χρησιμοποιήστε αναβαλλόμενη ενημέρωση αποθέματος"
"Notify for Quantity Below","Ειδοποίηση για ποσότητα κάτω από"
"Enable Qty Increments","Ενεργοποίηση Προσαυξήσεις Ποσ"
"Qty Increments","Προσαυξήσεις Ποσ."
"Stock Availability","Διαθεσιμότητα"
"Use Deferred Stock Update","Χρησιμοποιήστε Αναβαλλόμενη Ενημέρωση Αποθέματος"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
