"Advanced Inventory","Inventario Avanzato"
"Manage Stock","Gestisci scorte"
"Yes","Sì"
"No","No"
"Use Config Settings","Utilizzare le impostazioni di configurazione"
"[GLOBAL]","[GLOBALE]"
"Qty","Qtà"
"Out-of-Stock Threshold","Soglia di non disponibilità"
"Minimum Qty Allowed in Shopping Cart","Qtà minima consentita nel carrello"
"Maximum Qty Allowed in Shopping Cart","Qtà massima consentita nel carrello"
"Qty Uses Decimals","Qtà utilizza decimali"
"Allow Multiple Boxes for Shipping","Consenti spedizioni con colli multipli"
"Backorders","Backorders"
"Use deferred Stock update","Utilizza aggiornamento posticipato inventario"
"Notify for Quantity Below","Notifica per quantità inferiore"
"Enable Qty Increments","Abilita incrementi qtà"
"Qty Increments","Incrementi qtà"
"Stock Availability","Disponibilità"
"Use Deferred Stock Update","Utilizzare aggiornamento differito dello Stock"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
