"Advanced Inventory","Розширений інвентар"
"Manage Stock","Керувати складом"
"Yes","Так"
"No","Ні"
"Use Config Settings","Використовувати значення за замовчуванням"
"[GLOBAL]","[GLOBAL]"
"Qty","Кіл-ть"
"Out-of-Stock Threshold","Поріг, після якого Немає в наявності"
"Minimum Qty Allowed in Shopping Cart","Мінімальна кіл-ть, дозволена у кошику"
"Maximum Qty Allowed in Shopping Cart","Максимальна кіл-ть, дозволена у кошику"
"Qty Uses Decimals","Для кіл-сті використовуються десяткові знаки"
"Allow Multiple Boxes for Shipping","Дозволити кілька коробок на доставку"
"Backorders","Відкладені замовлення"
"Use deferred Stock update","Use deferred Stock update"
"Notify for Quantity Below","Повідомити для кількості, меншої за"
"Enable Qty Increments","Дозволити збільшення кіл-ті"
"Qty Increments","Збільшення кіл-ті"
"Stock Availability","Наявність на складі"
"Use Deferred Stock Update","Use Deferred Stock Update"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
