"Advanced Inventory","Nâng cấp kho hàng"
"Manage Stock","Quản lý kho"
"Yes","Có"
"No","Không"
"Use Config Settings","Sử dụng cấu hình cài đặt"
"[GLOBAL]","[Toàn hệ thống]"
"Qty","Số lượng"
"Out-of-Stock Threshold","Ngưỡng hết hàng"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu được cho phép trong giỏ hàng"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa được cho phép trong giỏ hàng"
"Qty Uses Decimals","Số lượng sử dụng số thập phân"
"Allow Multiple Boxes for Shipping","Cho phép nhiều hộp để vận chuyển"
"Backorders","Đơn hàng tồn đọng"
"Use deferred Stock update","Sử dụng cập nhật kho chậm"
"Notify for Quantity Below","Thông báo cho cho số lượng dưới đây"
"Enable Qty Increments","Cho phép gia số số lượng"
"Qty Increments","Gia số số lượng"
"Stock Availability","Tình trạng hàng"
"Use Deferred Stock Update","Sử dụng cập nhật kho chậm"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
