"Advanced Inventory","Avancerad inventering"
"Manage Stock","Hantera lager"
"Yes","Ja"
"No","Nej"
"Use Config Settings","Använd konfigurationsinställningarna"
"[GLOBAL]","[GLOBALT]"
"Qty","Antal"
"Out-of-Stock Threshold","""Slut i lager""-gräns"
"Minimum Qty Allowed in Shopping Cart","Minsta antal tillåtna i kundvagn"
"Maximum Qty Allowed in Shopping Cart","Högsta antal tillåtna i kundvagn"
"Qty Uses Decimals","Antal använder decimaler"
"Allow Multiple Boxes for Shipping","Tillåt flera försändelser för frakt"
"Backorders","Restorder"
"Use deferred Stock update","Använd latent lager uppdatering"
"Notify for Quantity Below","Notifiera för antal under"
"Enable Qty Increments","Aktivera antal steg"
"Qty Increments","Antal steg"
"Stock Availability","Tillgänglighet"
"Use Deferred Stock Update","Använd uppskjuten lageruppdatering"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
