"Advanced Inventory","Persediaan Lanjutan"
"Manage Stock","Atur Stok"
"Yes","Ya"
"No","Tidak"
"Use Config Settings","Gunakan konfigurasi Pengaturan"
"[GLOBAL]","[GLOBAL]"
"Qty","Jumlah"
"Out-of-Stock Threshold","Ambang Batas Stok habis"
"Minimum Qty Allowed in Shopping Cart","Qty minimum Yang diizinkan dalam keranjang belanja"
"Maximum Qty Allowed in Shopping Cart","Qty maksimum yang diizinkan dalam keranjang belanja"
"Qty Uses Decimals","Qty menggunakan Desimal"
"Allow Multiple Boxes for Shipping","Memungkinkan Beberapa Kotak untuk Pengiriman"
"Backorders","Kembali perintah"
"Use deferred Stock update","Use deferred Stock update"
"Notify for Quantity Below","Beritahu kuantitas dibawah ini"
"Enable Qty Increments","Aktifkan Qty tambahan"
"Qty Increments","Qty Tambahan"
"Stock Availability","Ketersediaan stok"
"Use Deferred Stock Update","Use Deferred Stock Update"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
