"Advanced Inventory","Inventario avanzado"
"Manage Stock","Gestionar existencias"
"Yes","Si"
"No","No 	"
"Use Config Settings","Usar opciones de configuración"
"[GLOBAL]","[GLOBAL]"
"Qty","Cantidad"
"Out-of-Stock Threshold","Límite fuera de stock"
"Minimum Qty Allowed in Shopping Cart","Cantidad mínima permitida en el carrito de compras"
"Maximum Qty Allowed in Shopping Cart","Cantidad máxima permitida en el carrito de compras"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Allow Multiple Boxes for Shipping","Permitir varios paquetes en envíos"
"Backorders","Pedidos pendientes"
"Use deferred Stock update","Utilizar actualización de valores diferido"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Qty Increments","Incrementos de cantidad"
"Stock Availability","Disponibilidad de inventario"
"Use Deferred Stock Update","Utilizar actualización de valores diferido"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
