"Advanced Inventory","Pokročilý inventár"
"Manage Stock","Správa zásob"
"Yes","Áno"
"No","Nie"
"Use Config Settings","Použiť nastavenie konfirurácie"
"[GLOBAL]","[GLOBAL]"
"Qty","Množstvo"
"Out-of-Stock Threshold","Out-of-Stock Threshold"
"Minimum Qty Allowed in Shopping Cart","Minimálne množstvo povolené v nákupnom košíku"
"Maximum Qty Allowed in Shopping Cart","Maximálne množstvo povolené v nákupnom košíku"
"Qty Uses Decimals","Množstvo používa desatinné miesta"
"Allow Multiple Boxes for Shipping","Povoliť viaceré balíky pre doručenie"
"Backorders","Do-objednávky"
"Use deferred Stock update","Use deferred Stock update"
"Notify for Quantity Below","Upozorniť na množstvo nižšie"
"Enable Qty Increments","Povoliť množstvo po krokoch"
"Qty Increments","Množstevný krok"
"Stock Availability","Dostupnosť na sklade"
"Use Deferred Stock Update","Use Deferred Stock Update"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
