"Home","Sākums"
"Go to Home Page","Iet uz sākumlapu"
"Catalog Advanced Search","Kataloga paplašinātā meklēšana"
"All","Visi"
"Yes","Jā"
"No","Nē"
"Results","Rezultāti"
"Advanced Search Results","Paplašinātas meklēšanas rezultāti"
"Grid","Režģis"
"List","Saraksts"
"Search Weight","Meklēšanas svars"
"Relevance","Atbilstība"
"Search results for: '%1'","Meklēšanas rezultāti: '%1'"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Please specify at least one search term.","Norādiet vismaz vienu meklējamo vārdu."
"%1 and greater","%1 and greater"
"up to %1","up to %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Kategorija"
"%1 and above","%1 un vairāk"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Atvainojiet, kļūda. Vairāk informācijas kļūdu log failā."
"Bucket does not exist","Bucket does not exist"
"Product","Produkts"
"Search Settings","Meklēšanas iestatījumi"
"Search","Meklēt"
"Advanced Search","Paplašināta Meklēšana"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"We can't find any items matching these search criteria.","Mēs nevaram atrast jebkuru šo meklēšanas kritērijiem atbilstošo vienumu."
"Modify your search.","Labot meklēšanu."
"name","nosaukums"
"Don't see what you're looking for?","Nevarat atrast meklēto?"
"Your search returned no results.","Your search returned no results."
"Popular Search Terms","Populārākie meklējumi"
"Catalog Search","Kataloga meklēšana"
"Minimal Query Length","Minimālais pieprasījuma garums"
"Maximum Query Length","Maksimālais pieprasījuma garums"
"Rebuild Catalog product fulltext search index","Pārbūvēt kataloga produktu pilnā teksta meklēšanas indeksus"
"Please enter a valid price range.","Please enter a valid price range."
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
