"Home","Inicio"
"Go to Home Page","Ir a la página de inicio"
"Catalog Advanced Search","Búsqueda avanzada de catálogo"
"All","Todos"
"Yes","Sí"
"No","No 	"
"Results","Resultados"
"Advanced Search Results","Resultados de búsqueda avanzada"
"Grid","Parrilla"
"List","Lista"
"Search Weight","Buscar peso"
"Relevance","Relevancia"
"Search results for: '%1'","Resultados de búsqueda para: '%1'"
"Minimum Search query length is %1","Longitud mínima de consulta de búsqueda es %1"
"Please specify at least one search term.","Especifica al menos un término de búsqueda."
"%1 and greater","%1 y mayor"
"up to %1","hasta %1"
". "" which is inconsistent with state of scope resolver""",". que es incompatible con el estado de resolución de alcance"""
"Category","Categoría"
"%1 and above","%1 y superior"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Lo sentimos, algo salió mal. Encontrarás más información en el registro de errores."
"Bucket does not exist","Bucket no existe"
"Product","Producto"
"Search Settings","Ajustes de búsqueda"
"Search","Buscar"
"Advanced Search","Búsqueda avanzada"
"<strong>%1 item</strong> were found using the following search criteria","<strong>artículo %1</strong> se encontraron con los siguientes criterios de búsqueda"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 artículos</strong> se encontraron con los siguientes criterios de búsqueda"
"We can't find any items matching these search criteria.","No podemos encontrar los elementos que cumplan estos criterios de búsqueda."
"Modify your search.","Modifica tu búsqueda."
"name","nombre"
"Don't see what you're looking for?","¿No encuentras lo que buscas?"
"Your search returned no results.","La búsqueda no ha devuelto ningún resultado."
"Popular Search Terms","Términos de búsqueda populares"
"Catalog Search","Catálogo de búsquedas"
"Minimal Query Length","Longitud mínima de búsqueda"
"Maximum Query Length","Longitud máxima de consulta"
"Rebuild Catalog product fulltext search index","Reconstruir catálogo Artículo todo el texto búsqueda índice"
"Please enter a valid price range.","Por favor, introduzca un rango de precios válido."
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
