"Home","Úvod"
"Go to Home Page","Na úvodní stránku"
"Catalog Advanced Search","Rozšířené hledání v katalogu"
"All","Vše"
"Yes","Ano"
"No","Ne"
"Results","Výsledky"
"Advanced Search Results","Výsledky rozšířeného hledání"
"Grid","Mřížka"
"List","Seznam"
"Search Weight","Priorita hledání"
"Relevance","Význam"
"Search results for: '%1'","Výsledky hledání pro: '%1'"
"Minimum Search query length is %1","Minimální délka hledaného výrazu je %1"
"Please specify at least one search term.","Zadejte alespoň jeden hledaný výraz."
"%1 and greater","%1 a více"
"up to %1","až do %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Kategorie"
"%1 and above","%1 a více"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Omlouváme se, něco se pokazilo. Více informací naleznete v protokolu chyb."
"Bucket does not exist","Bucket does not exist"
"Product","Produkt"
"Search Settings","Hodnoty parametrů hledaných produktů"
"Search","Hledat"
"Advanced Search","Rozšířené hledání"
"<strong>%1 item</strong> were found using the following search criteria","Byl nalezen %1 produkt vyhovující zadaným kritériím"
"<strong>%1 items</strong> were found using the following search criteria","Produktů vyhovujících zadaným kritériím bylo nalezeno: <strong>%1</strong>"
"We can't find any items matching these search criteria.","Položky odpovídající hledaným kritériím nelze najít."
"Modify your search.","Upravte hledaný text."
"name","název"
"Don't see what you're looking for?","Nebylo nalezeno to, co hledáte?"
"Your search returned no results.","Nebyly nalezeny žádné výsledky."
"Popular Search Terms","Nejvyhledávanější výrazy a hodnoty"
"Catalog Search","Hledání v katalogu"
"Minimal Query Length","Minimální délka hledaného výrazu"
"Maximum Query Length","Maximální délka hledaného výrazu"
"Rebuild Catalog product fulltext search index","Obnovení indexu fultextového hledání v katalogu"
"Please enter a valid price range.","Zadejte platný cenový rozsah."
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
