"Home","Inicio"
"Go to Home Page","Ir a la página de inicio"
"Catalog Advanced Search","Búsqueda avanzada de catálogo"
"All","Todos"
"Yes","Si"
"No","No 	"
"Results","Resultados"
"Advanced Search Results","Resultados de la búsqueda avanzada"
"Grid","Grilla"
"List","Lista"
"Search Weight","Buscar por peso"
"Relevance","Relevancia"
"Search results for: '%1'","Resultados de búsqueda para: '%1'"
"Minimum Search query length is %1","Longitud mínima de consulta de búsqueda es %1"
"Search term is empty","El término de búsqueda está vacío"
"Please specify at least one search term.","Please specify at least one search term."
"%1 and greater","%1 y mayor"
"up to %1","hasta %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Categoría"
"%1 and above","%1 y superior"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Bucket does not exist","Bucket does not exist"
"Product","Producto"
"Search Settings","Ajustes de búsqueda"
"Search","Buscar"
"Advanced Search","Búsqueda avanzada"
"<strong>%1 item</strong> were found using the following search criteria","<strong>artículo %1</strong> se encontraron con los siguientes criterios de búsqueda"
"<strong>%1 items</strong> were found using the following search criteria","se encontraron <strong>%1 artículos</strong> usando los siguientes criterios de búsqueda"
"We can't find any items matching these search criteria.","No podemos encontrar los elementos que cumplan estos criterios de búsqueda."
"Modify your search.","Modificar la búsqueda."
"name","nombre"
"Don't see what you're looking for?","¿No encuentra lo que busca?"
"Your search returned no results.","La búsqueda no ha devuelto ningún resultado."
"Catalog Section","Sección de Catálogo"
"Catalog Search","Catálogo de búsquedas"
"Popular Search Terms","Términos de búsqueda populares"
"Minimal Query Length","Longitud mínima de consulta"
"Maximum Query Length","Longitud máxima de consulta"
"Number of top search results to cache","Número de primeros resultados de búsquedas en caché"
"Rebuild Catalog product fulltext search index","Reconstruir indice de busca textual de catálogo"
"Bucket do not exists","Bucket do not exists"
"Modify your search","Modify your search"
"Test Exception","Excepción de la prueba"
"Please enter a valid price range.","Por favor, introduzca un rango de precios válido."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Número de términos de búsqueda populares a ser cacheados para una respuesta más rápida. Utilice “0” para cachear todos los resultados después de que se busque un término por segunda vez."
"Enable EAV Indexer","Habilitar indexador EAV"
"Enter a search term and try again.","Introduzca un término de búsqueda e inténtelo de nuevo."
"An error occurred. For details, see the error log.","Se ha producido un error. Para más detalles, vea el registro de errores."
"The bucket doesn't exist.","La búsqueda no existe."
"Deprecation Notice","Deprecation Notice"
"Autocomplete Limit","Limite de autocompletar"
