"Home","首頁"
"Go to Home Page","回到首頁"
"Catalog Advanced Search","Catalog Advanced Search"
"All","全部"
"Yes","是"
"No","否"
"Results","結果"
"Advanced Search Results","Advanced Search Results"
"Grid","格狀"
"List","列表"
"Search Weight","Search Weight"
"Relevance","Relevance"
"Search results for: '%1'","Search results for: '%1'"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Search term is empty","Search term is empty"
"Enter a search term and try again.","Enter a search term and try again."
"%1 and greater","%1 and greater"
"up to %1","up to %1"
"Default product collection strategy not found","Default product collection strategy not found"
"Category","類別"
"%1 and above","%1 and above"
"%1 - %2","%1 - %2"
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Product","商品"
"Disable Notice","Disable Notice"
"Test Exception","Test Exception"
"Search Settings","Search Settings"
"Search","搜尋"
"Please enter a valid price range.","Please enter a valid price range."
"Advanced Search","Advanced Search"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"We can't find any items matching these search criteria.","我們找不到任何這些搜尋條件匹配的項目。"
"Modify your search.","Modify your search."
"name","名稱"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Your search returned no results.","Your search returned no results."
"Catalog Section","Catalog Section"
"Catalog Search","Catalog Search"
"Popular Search Terms","Popular Search Terms"
"Minimal Query Length","Minimal Query Length"
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"Maximum Query Length","Maximum Query Length"
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
"Number of top search results to cache","Number of top search results to cache"
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Autocomplete Limit","Autocomplete Limit"
"Enable EAV Indexer","Enable EAV Indexer"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
