"Home","Hjem"
"Go to Home Page","Gå til hjemmesiden"
"Catalog Advanced Search","Katalog Avansert søk"
"All","Alle"
"Yes","Ja"
"No","Nei"
"Results","Resultater"
"Advanced Search Results","Avansert søkeresultater"
"Grid","Rutenett"
"List","Liste"
"Search Weight","Søk Vekt"
"Relevance","Relevans"
"Search results for: '%1'","Søkeresultat for: ""%1"""
"Minimum Search query length is %1","Minimum søke lengde er %1"
"Search term is empty","Search term is empty"
"Please specify at least one search term.","Please specify at least one search term."
"%1 and greater","%1 og større"
"up to %1","opp til %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Kategori"
"%1 and above","%1 og over"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Bucket does not exist","Bucket does not exist"
"Product","Produkt"
"Search Settings","Søkeinnstillinger"
"Search","Søk"
"Advanced Search","Avansert søk"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 element</strong> ble funnet ved hjelp av følgende søkekriterier"
"<strong>%1 items</strong> were found using the following search criteria","fant <strong>%1 elementer</strong> ved hjelp av følgende søkekriterier"
"We can't find any items matching these search criteria.","We can't find any items matching these search criteria."
"Modify your search.","Endre søket ditt."
"name","navn"
"Don't see what you're looking for?","Finner du ikke det du leter etter?"
"Your search returned no results.","Ditt søk returnerte ingen resultater."
"Catalog Section","Catalog Section"
"Catalog Search","Katalog søk"
"Popular Search Terms","Populære søkeord"
"Minimal Query Length","Minimal spørringen lengde"
"Maximum Query Length","Maksimal spørringen lengde"
"Number of top search results to cache","Number of top search results to cache"
"Rebuild Catalog product fulltext search index","Gjenoppbygge katalogen produktet fulltext søkeindeksen"
"Bucket do not exists","Bucket do not exists"
"Modify your search","Modify your search"
"Test Exception","Test Exception"
"Please enter a valid price range.","Please enter a valid price range."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Enable EAV Indexer","Enable EAV Indexer"
"Enter a search term and try again.","Enter a search term and try again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Deprecation Notice","Deprecation Notice"
"Autocomplete Limit","Autocomplete Limit"
