"Home","Дома"
"Go to Home Page","Оди на почетната страна"
"Catalog Advanced Search","Напредно пребарување"
"All","Сите"
"Yes","Да"
"No","Не"
"Results","Резултати"
"Advanced Search Results","Резултати од напредното пребарување"
"Grid","Мрежа"
"List","Листа"
"Search Weight","Барај тежина"
"Relevance","Релевантност"
"Search results for: '%1'","Резултати од пребарувањето за: '%1'"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Search term is empty","Search term is empty"
"Enter a search term and try again.","Enter a search term and try again."
"%1 and greater","%1 и поголем"
"up to %1","до %1"
"Default product collection strategy not found","Default product collection strategy not found"
"Category","Категорија"
"%1 and above","%1 и погоре"
"%1 - %2","%1 - %2"
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Product","Продукт"
"Disable Notice","Disable Notice"
"Test Exception","Test Exception"
"Search Settings","Поставки за пребарување"
"Search","Барај"
"Please enter a valid price range.","Please enter a valid price range."
"Advanced Search","Напредно пребарување"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 продукт</strong> е пронајден користејќи ги следните параметри"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 продукти</strong> се пронајдени користејќи ги следните параметри"
"We can't find any items matching these search criteria.","Неможеме да пронајдеме продукти за избраните критериуми."
"Modify your search.","Измени го твоето барање."
"name","име"
"Don't see what you're looking for?","Неможеш да го најдеш тоа што го бараш?"
"Your search returned no results.","Не се пронајдени резултати за вашето барање."
"Catalog Section","Catalog Section"
"Catalog Search","Catalog Search"
"Popular Search Terms","Популарни пребарувани термини"
"Minimal Query Length","Minimal Query Length"
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"Maximum Query Length","Maximum Query Length"
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
"Number of top search results to cache","Number of top search results to cache"
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Autocomplete Limit","Autocomplete Limit"
"Enable EAV Indexer","Enable EAV Indexer"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
