"Home","Hem"
"Go to Home Page","Gå till startsidan"
"Catalog Advanced Search","Katalog Avancerad Sökning"
"All","Alla"
"Yes","Ja"
"No","Nej"
"Results","Resultat"
"Advanced Search Results","Avancerade sökresultat"
"Grid","Rutnät"
"List","Listvy"
"Search Weight","Sök vikt"
"Relevance","Relevans"
"Search results for: '%1'","Sökresultat för: '%1'"
"Minimum Search query length is %1","Sök fråga minimilängd är %1"
"Please specify at least one search term.","Ange minst en sökterm."
"%1 and greater","%1 och större"
"up to %1","upp till %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Kategori"
"%1 and above","%1 och över"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Tyvärr, gick något fel. Du kan läsa mer i felloggen."
"Bucket does not exist","Hink finns inte"
"Product","Produkt"
"Search Settings","Sökinställningar"
"Search","Sök"
"Advanced Search","Avancerad sökning"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 artikel</strong> hittades med följande sökkriterier"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 träffar</strong> hittades med följande sökkriterier"
"We can't find any items matching these search criteria.","We can't find any items matching these search criteria."
"Modify your search.","Ändra din sökning."
"name","namn"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Your search returned no results.","Sökningen gav inget resultat."
"Popular Search Terms","Populära söktermer"
"Catalog Search","Katalogsökning"
"Minimal Query Length","Minimal Query Length"
"Maximum Query Length","Maximum Query Length"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Please enter a valid price range.","Please enter a valid price range."
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
