"Home","Beranda"
"Go to Home Page","Pergi ke Halaman Beranda"
"Catalog Advanced Search","Pencarian Lanjutan Katalog"
"All","Semua"
"Yes","Ya"
"No","Tidak"
"Results","Hasil"
"Advanced Search Results","Pencarian Lanjutan Hasil"
"Grid","Kisi-kisi"
"List","Daftar"
"Search Weight","Pencarian Berat"
"Relevance","Relevansi"
"Search results for: '%1'","Hasil Pencarian untuk: '%1'"
"Minimum Search query length is %1","Minimum pencarian panjang pertanyaan adalah %1"
"Search term is empty","Search term is empty"
"Enter a search term and try again.","Enter a search term and try again."
"%1 and greater","%1 dan lebih Besar"
"up to %1","hingga %1"
"Default product collection strategy not found","Default product collection strategy not found"
"Category","Kategori"
"%1 and above","%1 dan lebih"
"%1 - %2","%1 - %2"
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Product","Produk"
"Disable Notice","Disable Notice"
"Test Exception","Uji Pengecualian"
"Search Settings","Cari Pengaturan"
"Search","Pencarian"
"Please enter a valid price range.","Please enter a valid price range."
"Advanced Search","Pencarian lanjutan"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"We can't find any items matching these search criteria.","Tidak dapat kami temukan barang yang cocok dengan kriteria ini."
"Modify your search.","Modifikasi pencarian Anda."
"name","nama"
"Don't see what you're looking for?","Tidak tahu apa yang sedang Anda cari?"
"Your search returned no results.","Pencarian kembali Anda tidak ada hasil."
"Catalog Section","Catalog Section"
"Catalog Search","Cari katalog"
"Popular Search Terms","Istilah Pencarian Popular"
"Minimal Query Length","Panjang Permintaan Minimal"
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"Maximum Query Length","Panjang Permintaan Maksimum"
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
"Number of top search results to cache","Number of top search results to cache"
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Autocomplete Limit","Autocomplete Limit"
"Enable EAV Indexer","Enable EAV Indexer"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
