"Home","Avaleht"
"Go to Home Page","Avalehele"
"Catalog Advanced Search","Kataloogi täppisotsing"
"All","Kõik"
"Yes","Jah"
"No","Ei"
"Results","Tulemused"
"Advanced Search Results","Täppisotsingu tulemused"
"Grid","Ruudustik"
"List","Nimekiri"
"Search Weight","Otsingu tähtsus"
"Relevance","Tähtsus"
"Search results for: '%1'","Otsingutulemused päringule: '%1'"
"Minimum Search query length is %1","Minimaalne päringu pikk on %1"
"Search term is empty","Search term is empty"
"Please specify at least one search term.","Please specify at least one search term."
"%1 and greater","%1 või suurem"
"up to %1","kuni %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Kategooria"
"%1 and above","%1 ja rohkem"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Bucket does not exist","Bucket does not exist"
"Product","Toode"
"Search Settings","Otsingusätted"
"Search","Otsi"
"Advanced Search","Laiendatud otsing"
"<strong>%1 item</strong> were found using the following search criteria","Järgnevatele otsingukriteeriumitele vastab <strong>%1 toode(t)</strong>"
"<strong>%1 items</strong> were found using the following search criteria","Järgnevatele otsingukriteeriumitele vastab <strong>%1 toode(t)</strong>"
"We can't find any items matching these search criteria.","We can't find any items matching these search criteria."
"Modify your search.","Muuda otsingut."
"name","nimi"
"Don't see what you're looking for?","Ei leidnud seda mida vaja?"
"Your search returned no results.","Otsing ei leidnud tulemusi."
"Catalog Section","Catalog Section"
"Catalog Search","Kataloogiotsing"
"Popular Search Terms","Populaarsemad otsisõnad"
"Minimal Query Length","Lühim päringu pikkus"
"Maximum Query Length","Maksimaalne otsingu pikkus"
"Number of top search results to cache","Number of top search results to cache"
"Rebuild Catalog product fulltext search index","Rekonstrueeri kataloogi toote täisteksti otsingu indeksid"
"Bucket do not exists","Bucket do not exists"
"Modify your search","Modify your search"
"Test Exception","Test Exception"
"Please enter a valid price range.","Please enter a valid price range."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Enable EAV Indexer","Enable EAV Indexer"
"Enter a search term and try again.","Enter a search term and try again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Deprecation Notice","Deprecation Notice"
"Autocomplete Limit","Autocomplete Limit"
