"Home","Главная"
"Go to Home Page","Перейти на главную страницу"
"Catalog Advanced Search","Расширенный поиск по каталогу"
"All","Все"
"Yes","Да"
"No","Нет"
"Results","Результат"
"Advanced Search Results","Расширенный Поиск"
"Grid","Сетка"
"List","Список"
"Search Weight","Вес Поиска"
"Relevance","Релевантность"
"Search results for: '%1'","Результаты поиска для: '%1'"
"Minimum Search query length is %1","Минимальная длина поискового запроса %1"
"Search term is empty","Поисковый запрос пуст"
"Please specify at least one search term.","Please specify at least one search term."
"%1 and greater","%1 и более"
"up to %1","до %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Категория"
"%1 and above","%1 и выше"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Bucket does not exist","Bucket does not exist"
"Product","Товар"
"Search Settings","Настройки поиска"
"Search","Поиск"
"Advanced Search","Расширенный поиск"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 позиция</strong> была найдена с помощью следующей критерии поиска"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"We can't find any items matching these search criteria.","Мы не можем найти другие элементы, соответствующие этим критериям поиска."
"Modify your search.","Изменить ваш запрос."
"name","название"
"Don't see what you're looking for?","Не нашли то, что искали?"
"Your search returned no results.","Ничего не найдено."
"Catalog Section","Раздел каталога"
"Catalog Search","Поиск по каталогу"
"Popular Search Terms","Популярные поисковые запросы"
"Minimal Query Length","Минимальная длина запроса"
"Maximum Query Length","Максимальная длина запроса"
"Number of top search results to cache","Количество топ-результатов поиска в кэше"
"Rebuild Catalog product fulltext search index","Перестроить каталог в полнотекстовом поисковом каталоге"
"Bucket do not exists","Bucket do not exists"
"Modify your search","Modify your search"
"Test Exception","Test Exception"
"Please enter a valid price range.","Пожалуйста, укажите допустимый диапазон цен."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Enable EAV Indexer","Enable EAV Indexer"
"Enter a search term and try again.","Введите поисковый запрос и повторите попытку."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","Корзина не существует."
"Deprecation Notice","Deprecation Notice"
"Autocomplete Limit","Лимит автозаполнения"
