"Home","Основна страница"
"Go to Home Page","Отиди на основата страница"
"Catalog Advanced Search","Подробно каталожно търсене"
"All","Всички"
"Yes","Да"
"No","Не"
"Results","Резултати"
"Advanced Search Results","Резултати от Разширено търсене"
"Grid","Решетка"
"List","Списък"
"Search Weight","Търси по тегло"
"Relevance","Приложимост"
"Search results for: '%1'","Резултати от търсене за: '%1'"
"Minimum Search query length is %1","Минималаната дължина на заявката за търсене  %1"
"Search term is empty","Фразата за търсене е празна"
"Enter a search term and try again.","Въведете търсения термин и опитайте отново."
"%1 and greater","%1 и по-голямо"
"up to %1","до %1"
"Default product collection strategy not found","Стратегията за събиране на продукти по подразбиране не е намерена"
"Category","Категория"
"%1 and above","%1 и нагоре"
"%1 - %2","%1 - %2"
"An error occurred. For details, see the error log.","Възникна грешка. За подробности вижте регистъра на грешки."
"The bucket doesn't exist.","Пакетът не съществува."
"Product","Продукт"
"Disable Notice","Деактивиране на известието"
"Test Exception","Тест изключение"
"Search Settings","Настройки на търсене"
"Search","Търсене"
"Please enter a valid price range.","Моля въведете валиден ценови регион."
"Advanced Search","Разширено търсене"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 продукт</strong> беше намерен според зададения критерий"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 продукта</strong> бяха намерени според зададения критерий"
"We can't find any items matching these search criteria.","Не можем да намерим никакви елементи, отговарящи на тези критерии за търсене."
"Modify your search.","Промени търсенето."
"name","име"
"Don't see what you're looking for?","Не намирате каквото търсите?"
"Your search returned no results.","Вашето търсене не даде резултати."
"Catalog Section","Раздел на каталога"
"Catalog Search","Каталог, Търсене"
"Popular Search Terms","Популярни думи за търсене"
"Minimal Query Length","Минимална дължина на заявката"
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","Тази стойност трябва да е съвместима със съответната настройка в конфигурираната търсачка. Имайте предвид: ниското ограничение на дължината на заявката може да окаже влияние върху производителността."
"Maximum Query Length","Максимална дължина на заявката"
"This value must be compatible with the corresponding setting in the configured search engine.","Тази стойност трябва да е съвместима със съответната настройка в конфигурираната търсачка."
"Number of top search results to cache","Брой на първите резултати от търсенето в кеша"
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Брой на популярните търсени фрази за кеширане за по-бърз отговор. Използвайте ""0"" за да кеширате всички резултати, след като фразата е търсена за втори път."
"Autocomplete Limit","Ограничение за Автодовършване"
"Enable EAV Indexer","Активиране на EAV Индексатора"
"Rebuild Catalog product fulltext search index","Възстановяване на търсене на пълнотекстов индекс на продукт в каталога"
