"Home","Acasă"
"Go to Home Page","Mergeți la pagina principală"
"Catalog Advanced Search","Căutare avansată catalog"
"All","Toate"
"Yes","Da"
"No","Nu"
"Results","Rezultate"
"Advanced Search Results","Advanced Search Results"
"Grid","Grilă"
"List","Listă"
"Search Weight","Căutați greutate"
"Relevance","Importanță"
"Search results for: '%1'","Căutați rezultate pentru: '%1'"
"Minimum Search query length is %1","Lungimea minimă a interogării de căutare este de %1"
"Search term is empty","Search term is empty"
"Please specify at least one search term.","Please specify at least one search term."
"%1 and greater","%1 și mai mare"
"up to %1","până la %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Categorie"
"%1 and above","%1 și peste"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Bucket does not exist","Bucket does not exist"
"Product","Proodus"
"Search Settings","Setări căutare"
"Search","Căutare"
"Advanced Search","Căutare avansată"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> au fost găsite folosind criterii de căutare"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> au fost găsite folosind următoarele criterii de căutare"
"We can't find any items matching these search criteria.","Nu se pot găsi articole care să coincidă cu aceste criterii de căutare."
"Modify your search.","Modifică parametri căutare."
"name","Nume"
"Don't see what you're looking for?","Nu găsiți ceea ce căutați?"
"Your search returned no results.","Nu s-au gasit rezultate pentru căutare."
"Catalog Section","Catalog Section"
"Catalog Search","Căutare catalog"
"Popular Search Terms","Termeni populari de căutare"
"Minimal Query Length","Lungime minimă interogare"
"Maximum Query Length","Lungime maximă interogare"
"Number of top search results to cache","Number of top search results to cache"
"Rebuild Catalog product fulltext search index","Reconstruire index căutare text complet produs catalog"
"Bucket do not exists","Bucket do not exists"
"Modify your search","Modify your search"
"Test Exception","Test Exception"
"Please enter a valid price range.","Please enter a valid price range."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Enable EAV Indexer","Enable EAV Indexer"
"Enter a search term and try again.","Enter a search term and try again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Deprecation Notice","Deprecation Notice"
"Autocomplete Limit","Autocomplete Limit"
