"Home","Início"
"Go to Home Page","Ir para Página Inicial"
"Catalog Advanced Search","Pesquisa Avançada de Catálogo"
"All","Todos"
"Yes","Sim"
"No","Não"
"Results","Resultados"
"Advanced Search Results","Resultados da pesquisa avançada"
"Grid","Grelha"
"List","Lista"
"Search Weight","Peso da Pesquisa"
"Relevance","Relevância"
"Search results for: '%1'","Resultados de pesquisa por: '%1'"
"Minimum Search query length is %1","O Comprimento Mínimo do Texto da Pesquisa é %1"
"Search term is empty","O termo de pesquisa está vazio"
"Please specify at least one search term.","Please specify at least one search term."
"%1 and greater","%1 e maior"
"up to %1","até %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Categoria"
"%1 and above","%1 e acima"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Bucket does not exist","Bucket does not exist"
"Product","Produto"
"Search Settings","Definições de Pesquisa"
"Search","Pesquisa"
"Advanced Search","Pesquisa Avançada"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item(s)</strong> foram encontrados utilizando os seguintes critérios de pesquisa"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 itens</strong> foram encontrados utilizando os seguintes critérios de pesquisa"
"We can't find any items matching these search criteria.","Não conseguimos encontrar nenhuns produtos que correspondam à sua pesquisa."
"Modify your search.","Modifique a sua pesquisa."
"name","nome"
"Don't see what you're looking for?","Não encontra o que procura?"
"Your search returned no results.","A sua pesquisa não retornou resultados."
"Catalog Section","Secção de catálogo"
"Catalog Search","Pesquisar no Catálogo"
"Popular Search Terms","Pesquisas Populares"
"Minimal Query Length","Comprimento Mínimo da Pesquisa"
"Maximum Query Length","Comprimento Máximo da Pesquisa"
"Number of top search results to cache","Número de resultados de busca para armazenar em cache"
"Rebuild Catalog product fulltext search index","Reconstruir o índice de pesquisa de texto do produto do catálogo"
"Bucket do not exists","Bucket do not exists"
"Modify your search","Modify your search"
"Test Exception","Exceção de teste"
"Please enter a valid price range.","Por favor insira um intervalo IP válido"
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Número de termos de busca populares a serem armazenados em cache para uma resposta mais rápida. Use ""0"" para armazenar em cache todos os resultados após um termo ser pesquisado pela segunda vez."
"Enable EAV Indexer","Habilitar o indexador EAV"
"Enter a search term and try again.","Digite um termo de pesquisa e tente novamente."
"An error occurred. For details, see the error log.","Ocorreu um erro. Para obter detalhes, consulte o log de erros."
"The bucket doesn't exist.","Esse guia não existe."
"Deprecation Notice","Deprecation Notice"
"Autocomplete Limit","Limite de Autocompletar"
