"Home","Почетна"
"Go to Home Page","Иди на почетну страницу"
"Catalog Advanced Search","Напредна Претрага Каталога"
"All","Све"
"Yes","Да"
"No","Не"
"Results","Резултати"
"Advanced Search Results","Напредна Претрага Резултата"
"Grid","Мрежа"
"List","Листа"
"Search Weight","Претражи Тежину"
"Relevance","Релевантност"
"Search results for: '%1'","Претражи резултате за: '%1'"
"Minimum Search query length is %1","Минимална дужина низа претраге је %1"
"Search term is empty","Тражени термин је празан"
"Please specify at least one search term.","Молим вас да наведете најмање један појам за тражење."
"%1 and greater","%1 и веће"
"up to %1","до %1"
". "" which is inconsistent with state of scope resolver""",". ""што није у складу са изјавом о решавању опсега"""
"Category","Категорија"
"%1 and above","%1 и изнад"
"%1 - %2","%1 x %2"
"Sorry, something went wrong. You can find out more in the error log.","Извини, нешто кренуло наопако. Више о грешци можете пронаћи у евиденцији грешака."
"Bucket does not exist","Буцкет не постоји"
"Product","Производ"
"Search Settings","Подешавање претраге"
"Search","Претрага"
"Advanced Search","Напредна претрага"
"<strong>%1 item</strong> were found using the following search criteria","<стронг>%1 производ</стронг> је пронађен користећи следеће критеријуме претраге"
"<strong>%1 items</strong> were found using the following search criteria","<стронг>%1 производ</стронг> је пронађен користећи следеће критеријуме претраге"
"We can't find any items matching these search criteria.","We can't find any items matching these search criteria."
"Modify your search.","Прилагодите своју претрагу."
"name","назив"
"Don't see what you're looking for?","Не видите оно што тражите?"
"Your search returned no results.","Ваша претрага није вратила резултате."
"Catalog Section","Део каталога"
"Catalog Search","Претрага каталога"
"Popular Search Terms","Популарни тражени појмови"
"Minimal Query Length","Минимална дужина упита"
"Maximum Query Length","Максимална дужина упита"
"Number of top search results to cache","Број резултата претрага на врху за кеширање"
"Rebuild Catalog product fulltext search index","Поново покрени претрагу каталога куцањем пуног назива"
"Bucket do not exists","Bucket do not exists"
"Modify your search","Измените претрагу"
"Test Exception","Изузетак теста"
"Please enter a valid price range.","Молимо унесите валидни опсег цене."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Број популарних претраживаних термина који се кеширају за бржи одговор. Користи ""0"" да кеширате све резултате након што је појам тражен други пут."
"Enable EAV Indexer","Омогући ЕАВ Индексер"
"Enter a search term and try again.","Упишите термин за претрагу и покушајте поново."
"An error occurred. For details, see the error log.","Дошло је до грешке. За детаље, проверите извештај грешака."
"The bucket doesn't exist.","Копча не постоји."
"Deprecation Notice","Обавештење о депрецијацији"
"Autocomplete Limit","Аутокомплит Лимит"
