"Home","Etusivu"
"Go to Home Page","Siirry etusivulle"
"Catalog Advanced Search","Katalogin monipuolinen haku"
"All","Kaikki"
"Yes","Kyllä"
"No","Ei"
"Results","Tulokset"
"Advanced Search Results","Advanced Search Results"
"Grid","Ruudukko"
"List","Luettelo"
"Search Weight","Haun painotus"
"Relevance","Liittyvyys"
"Search results for: '%1'","Hakutulokset: '%1'"
"Minimum Search query length is %1","Hakutermin minimipituus on %1"
"Please specify at least one search term.","Määritä vähintään yksi hakutermi."
"%1 and greater","%1 and greater"
"up to %1","up to %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Kategoria"
"%1 and above","%1 ja yli"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Valitettavasti jokin meni pieleen. Löydät lisätietoja virhelokista."
"Bucket does not exist","Ämpäriä ei löytynyt"
"Product","Tuote"
"Search Settings","Haun asetukset"
"Search","Haku"
"Advanced Search","Laajennettu haku"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 nimike</strong> löytyi seuraavilla hakuehdoilla"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 nimikettä</strong> löytyi seuraavilla hakuehdoilla"
"We can't find any items matching these search criteria.","Hakua vastaavia kohteita ei löydy."
"Modify your search.","Muokkaa hakua."
"name","nimi"
"Don't see what you're looking for?","Etkö löydä etsimääsi?"
"Your search returned no results.","Hakusi ei tuottanut tuloksia."
"Popular Search Terms","Suosituimmat hakusanat"
"Catalog Search","Catalog Search"
"Minimal Query Length","Minimal Query Length"
"Maximum Query Length","Maximum Query Length"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Please enter a valid price range.","Please enter a valid price range."
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
