"Home","Inici"
"Go to Home Page","Vés a la pàgina d'inici"
"Catalog Advanced Search","Cerca avançada del catàleg"
"All","Tot"
"Yes","Si"
"No","No"
"Results","Resultats"
"Advanced Search Results","Resultats de la cerca avançada"
"Grid","Graella"
"List","Llista"
"Search Weight","Pes de cerca"
"Relevance","Rellevància"
"Search results for: '%1'","Resultats de la cerca per: '%1'"
"Minimum Search query length is %1","La longitud mínima de la consulta de cerca és %1"
"Search term is empty","El terme de cerca està buit"
"Please specify at least one search term.","Si us plau, especifiqueu almenys un terme de cerca."
"%1 and greater","%1 i superior"
"up to %1","fins a %1"
". "" which is inconsistent with state of scope resolver""",". "" que no coincideix amb l'estat de l'abast del solucionador"""
"Category","Categoria"
"%1 and above","%1 i superior"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Ho sentim, alguna cosa ha anat malament. Podeu trobar més informació al log d'error."
"Bucket does not exist","El Bucket no existeix"
"Product","Producte"
"Search Settings","Configuració de la cerca"
"Search","Cerca"
"Advanced Search","Cerca Avançada"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 article</strong> s’ha(n) trobat mitjançant els criteris de cerca següents"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 articles</strong> s’ha(n) trobat mitjançant els criteris de cerca següents"
"We can't find any items matching these search criteria.","No podem trobar cap article que coincideixi amb aquests criteris de cerca."
"Modify your search.","Modifiqueu la vostra cerca."
"name","nom"
"Don't see what you're looking for?","No veus què estàs buscant?"
"Your search returned no results.","La vostra cerca no ha donat resultats."
"Catalog Section","Secció de catàleg"
"Catalog Search","Cerca del catàleg"
"Popular Search Terms","Termes de cerca populars"
"Minimal Query Length","Longitud mínima de la consulta"
"Maximum Query Length","Longitud màxima de la consulta"
"Number of top search results to cache","Nombre de resultats de cerca principals a la memòria cau"
"Rebuild Catalog product fulltext search index","Reconstruir l'índex de cerca del catàleg per nom complet del producte"
"Bucket do not exists","Bucket no existeix"
"Modify your search","Modifiqueu la vostra cerca"
"Test Exception","Excepció de prova"
"Please enter a valid price range.","Si us plau, introduïu un interval de preus vàlid."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Nombre de termes de cerca populars que s’han d'emmagatzemar per obtenir una resposta més ràpida. Utilitzeu “0” per a emmagatzemar tots els resultats després que es busqui un terme per segona vegada."
"Enable EAV Indexer","Activar indexador EAV"
"Enter a search term and try again.","Introduïu un terme de cerca i torneu-ho a provar."
"An error occurred. For details, see the error log.","Hi ha hagut un error. Per obtenir més detalls, consulteu el registre d’errors."
"The bucket doesn't exist.","El bucket no existeix."
"Deprecation Notice","Avís de desaparició"
"Autocomplete Limit","Límit d'autocompletar"
