"Home","Αρχική"
"Go to Home Page","Μετάβαση στην Αρχική Σελίδα"
"Catalog Advanced Search","Προχωρημένη αναζήτηση καταλόγου"
"All","Όλα"
"Yes","Ναί"
"No","Όχι"
"Results","Αποτελέσματα"
"Advanced Search Results","Αποτελέσματα Σύνθετης Αναζήτησης"
"Grid","Πλέγμα"
"List","Λίστα"
"Search Weight","Αναζήτηση Βάρους"
"Relevance","Συναφή"
"Search results for: '%1'","Αποτελέσματα αναζήτησης για: «%1»"
"Minimum Search query length is %1","Το ελάχιστο μήκος ερωτήματος αναζήτησης είναι %1"
"Please specify at least one search term.","Παρακαλώ προσδιορίστε τουλάχιστον έναν όρο αναζήτησης."
"%1 and greater","%1 και μεγαλύτερο"
"up to %1","μέχρι %1"
". "" which is inconsistent with state of scope resolver""",". "" που δεν είναι συμβατό με την κατάσταση της επίλυσης πεδίου εφαρμογής"""
"Category","Κατηγορία"
"%1 and above","%1 και άνω"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Συγνώμη, κάτι πήγε στραβά. Μπορείτε να μάθετε περισσότερα στο αρχείο καταγραφής σφαλμάτων."
"Bucket does not exist","Ο κουβάς δεν υπάρχει"
"Product","Προϊόν"
"Search Settings","Ρυθμίσεις αναζήτησης"
"Search","Αναζήτηση"
"Advanced Search","Σύνθετη Αναζήτηση"
"<strong>%1 item</strong> were found using the following search criteria","βρέθηκε <strong>%1 στοιχείο</strong>, χρησιμοποιώντας τα ακόλουθα κριτήρια αναζήτησης"
"<strong>%1 items</strong> were found using the following search criteria","βρέθηκαν <strong>%1 στοιχεία</strong> χρησιμοποιώντας τα ακόλουθα κριτήρια αναζήτησης"
"We can't find any items matching these search criteria.","Δεν μπορούμε να βρούμε κανένα από τα στοιχεία που να ταιριάζουν σε αυτά τα κριτήρια αναζήτησης."
"Modify your search.","Τροποποιήστε την αναζήτησή σας."
"name","όνομα"
"Don't see what you're looking for?","Δεν βλέπετε αυτό που ψάχνετε;"
"Your search returned no results.","Η αναζήτησή σας δεν είχε αποτελέσματα."
"Popular Search Terms","Δημοφιλείς Όροι Αναζήτησης"
"Catalog Search","Αναζήτηση στον κατάλογο"
"Minimal Query Length","Ελάχιστο Μήκος Ερωτήματος"
"Maximum Query Length","Μέγιστο Μήκος Ερωτήματος"
"Rebuild Catalog product fulltext search index","Επαναδημιουργία του ευρετηρίου της αναζήτησης πλήρους κειμένου προϊόντων καταλόγου"
"Please enter a valid price range.","Παρακαλούμε εισάγετε ένα έγκυρο εύρος τιμών."
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
