"Home","خانه"
"Go to Home Page","برو به صفحه‌ی اصلی"
"Catalog Advanced Search","جستجوی پیشرفته‌ کاتالوگ"
"All","همه"
"Yes","بله"
"No","خیر"
"Results","نتایج"
"Advanced Search Results","نتایج جستجوی پیشرفته"
"Grid","مشبک"
"List","لیست"
"Search Weight","وزن جستجو"
"Relevance","ارتباط"
"Search results for: '%1'","نتایج جستجو برای: %1"
"Minimum Search query length is %1","حداقل طول عبارت جستجو %1 است"
"Search term is empty","Search term is empty"
"Enter a search term and try again.","Enter a search term and try again."
"%1 and greater","%1 و بیشتر"
"up to %1","تا %1"
"Default product collection strategy not found","Default product collection strategy not found"
"Category","دسته بندی"
"%1 and above","%1 و بالاتر"
"%1 - %2","%1 - %2"
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Product","محصول"
"Disable Notice","Disable Notice"
"Test Exception","Test Exception"
"Search Settings","تنظیمات جستجو"
"Search","جستجو"
"Please enter a valid price range.","Please enter a valid price range."
"Advanced Search","جستجوی پیشرفته"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 مورد</strong> با استفاده از معیارهای جستجو زیر یافت شد"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 مورد</strong> با استفاده از معیارهای جستجو زیر یافت شد"
"We can't find any items matching these search criteria.","ما نمی توانیم مواردی را مطابق با این معیارهای جستجو پیدا کنیم."
"Modify your search.","جستجویتان را اصلاح کنید."
"name","نام"
"Don't see what you're looking for?","چیزی که به دنبال آن هستید را پیدا نمی‌کنید؟"
"Your search returned no results.","برای جستجوی شما هیچ نتیجه‌ ای یافت نشد."
"Catalog Section","Catalog Section"
"Catalog Search","جستجوی کاتالوگ"
"Popular Search Terms","عبارات جستجوی محبوب"
"Minimal Query Length","حداقل طول متن"
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"Maximum Query Length","حداکثر طول متن"
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
"Number of top search results to cache","Number of top search results to cache"
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Autocomplete Limit","Autocomplete Limit"
"Enable EAV Indexer","Enable EAV Indexer"
"Rebuild Catalog product fulltext search index","بازسازی فهرست جستجوی تمام متنی محصول کاتالوگ"
