"Home","Головна"
"Go to Home Page","Перейти на домашню сторінку"
"Catalog Advanced Search","Каталог розширеного пошуку"
"All","Всі"
"Yes","Так"
"No","Ні"
"Results","Результати"
"Advanced Search Results","Результати розширеного пошуку"
"Grid","Таблиця"
"List","Список"
"Search Weight","Пошук за вагою"
"Relevance","Релевантність"
"Search results for: '%1'","Результати пошуку: '%1'"
"Minimum Search query length is %1","Мінімальна довжина запиту пошуку-%1"
"Search term is empty","Search term is empty"
"Please specify at least one search term.","Please specify at least one search term."
"%1 and greater","%1 і більше"
"up to %1","до %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Категорія"
"%1 and above","%1 та вище"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Bucket does not exist","Bucket does not exist"
"Product","Продукт"
"Search Settings","Параметри пошуку"
"Search","Пошук"
"Advanced Search","Розширений пошук"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 елемент</strong> було знайдено, використовуючи такі умови пошуку"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 елементів</strong> було знайдено, використовуючи такі умови пошуку"
"We can't find any items matching these search criteria.","Ми не можемо знайти жодних елементів, що відповідають умовам пошуку."
"Modify your search.","Змінити ваш пошук."
"name","назва"
"Don't see what you're looking for?","Не побачили, що шукали?"
"Your search returned no results.","На Ваш запит нічого не знайдено."
"Catalog Section","Catalog Section"
"Catalog Search","Пошук в каталозі"
"Popular Search Terms","Популярні пошукові терміни"
"Minimal Query Length","Мінімальна довжина запиту"
"Maximum Query Length","Максимальна довжина запиту"
"Number of top search results to cache","Number of top search results to cache"
"Rebuild Catalog product fulltext search index","Перебудувати індекс повнотекстового пошуку каталогу товарів"
"Bucket do not exists","Bucket do not exists"
"Modify your search","Modify your search"
"Test Exception","Test Exception"
"Please enter a valid price range.","Please enter a valid price range."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Enable EAV Indexer","Enable EAV Indexer"
"Enter a search term and try again.","Enter a search term and try again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Deprecation Notice","Deprecation Notice"
"Autocomplete Limit","Autocomplete Limit"
