"Home","الصفحة الرئيسية"
"Go to Home Page","الانتقال إلى الصفحة الرئيسية"
"Catalog Advanced Search","بحث متقدم فى الكتالوج"
"All","الكل"
"Yes","نعم"
"No","لا"
"Results","نتائج"
"Advanced Search Results","نتائج البحث المتقدم"
"Grid","الشبكة"
"List","قائمة"
"Search Weight","ابحث في الوزن"
"Relevance","الصله"
"Search results for: '%1'","نتائج البحث عن: '%1'"
"Minimum Search query length is %1","الحد الأدنى لطول استعلام البحث هو %1"
"Search term is empty","Search term is empty"
"Enter a search term and try again.","Enter a search term and try again."
"%1 and greater","%1 وأكبر"
"up to %1","حتى %1"
"Default product collection strategy not found","Default product collection strategy not found"
"Category","القسم"
"%1 and above","%1 واكثر"
"%1 - %2","%1-%2"
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Product","المنتج"
"Disable Notice","Disable Notice"
"Test Exception","Test Exception"
"Search Settings","اعدادات البحث"
"Search","بحث"
"Please enter a valid price range.","الرجاء إدخال نطاق سعر صالح."
"Advanced Search","بحث متقدم"
"<strong>%1 item</strong> were found using the following search criteria","تم العثور على <strong>العنصر%1</strong> باستخدام معايير البحث التالية"
"<strong>%1 items</strong> were found using the following search criteria","تم العثور على <strong>العناصر%1</strong> باستخدام معايير البحث التالية"
"We can't find any items matching these search criteria.","لا يوجد عناصر تطابق معايير البحث هذه."
"Modify your search.","تعديل البحث الخاص بك."
"name","اسم"
"Don't see what you're looking for?","لا أرى ما كنت تبحث عن؟"
"Your search returned no results.","لا يوجد نتائج لبحثك."
"Catalog Section","Catalog Section"
"Catalog Search","دليل المنتجات و البحث"
"Popular Search Terms","كلمات البحث الشائعة"
"Minimal Query Length","طول الحد الأدنى للاستعلام"
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"Maximum Query Length","طول الحد الأقصى للاستعلام"
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
"Number of top search results to cache","Number of top search results to cache"
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Autocomplete Limit","Autocomplete Limit"
"Enable EAV Indexer","Enable EAV Indexer"
"Rebuild Catalog product fulltext search index","إعادة إنشاء فهرس البحث عن النص الكامل لدليل المنتج"
