"Home","Inicio"
"Go to Home Page","Ir a la página de inicio"
"Catalog Advanced Search","Búsqueda avanzada de catálogo"
"All","Todos"
"Yes","Sí"
"No","No 	"
"Results","Resultados"
"Advanced Search Results","Resultados de búsqueda avanzada"
"Grid","Parrilla"
"List","Lista"
"Search Weight","Buscar peso"
"Relevance","Relevancia"
"Search results for: '%1'","Resultados de búsqueda para: '%1'"
"Minimum Search query length is %1","Longitud mínima de consulta de búsqueda es %1"
"Search term is empty","Término de búsqueda está vacío"
"Please specify at least one search term.","Especifica al menos un término de búsqueda."
"%1 and greater","%1 y mayor"
"up to %1","hasta %1"
". "" which is inconsistent with state of scope resolver""",". que es incompatible con el estado de resolución de alcance"""
"Category","Categoría"
"%1 and above","%1 y superior"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Lo sentimos, algo salió mal. Encontrarás más información en el registro de errores."
"Bucket does not exist","Bucket no existe"
"Product","Producto"
"Search Settings","Ajustes de búsqueda"
"Search","Buscar"
"Advanced Search","Búsqueda avanzada"
"<strong>%1 item</strong> were found using the following search criteria","<strong>artículo %1</strong> se encontraron con los siguientes criterios de búsqueda"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 artículos</strong> se encontraron con los siguientes criterios de búsqueda"
"We can't find any items matching these search criteria.","No podemos encontrar los elementos que cumplan estos criterios de búsqueda."
"Modify your search.","Modifica tu búsqueda."
"name","nombre"
"Don't see what you're looking for?","¿No encuentras lo que buscas?"
"Your search returned no results.","La búsqueda no ha devuelto ningún resultado."
"Catalog Section","Sección de Catálogo"
"Catalog Search","Catálogo de búsquedas"
"Popular Search Terms","Términos de búsqueda populares"
"Minimal Query Length","Longitud mínima de búsqueda"
"Maximum Query Length","Longitud máxima de consulta"
"Number of top search results to cache","Número de primeros resultados de búsquedas en caché"
"Rebuild Catalog product fulltext search index","Reconstruir catálogo Artículo todo el texto búsqueda índice"
"Bucket do not exists","El ""Bucket"" no existe"
"Modify your search","Modificar la búsqueda"
"Test Exception","Excepción de la prueba"
"Please enter a valid price range.","Por favor, introduzca un rango de precios válido."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Número de términos de búsqueda populares a ser cacheados para una respuesta más rápida. Utilice “0” para caché todos los resultados después de que se busque un término por segunda vez."
"Enable EAV Indexer","Habilitar índice EAV"
"Enter a search term and try again.","Introduzca un término de búsqueda e inténtelo de nuevo."
"An error occurred. For details, see the error log.","Ha ocurrido un error. Para ver los detalles consultar el log del error."
"The bucket doesn't exist.","No existe."
"Deprecation Notice","Aviso de depreciasión"
"Autocomplete Limit","Limite de autocompletar"
