"Home","Kezdőlap"
"Go to Home Page","Ugrás a honlapra"
"Catalog Advanced Search","Részletes katalógus keresés"
"All","Összes"
"Yes","Igen"
"No","Nem "
"Results","Eredmények"
"Advanced Search Results","Összetett keresés találatai"
"Grid","Rács"
"List","Lista"
"Search Weight","Súly keresés"
"Relevance","Relevancia"
"Search results for: '%1'","Keresési eredmények: '%1'"
"Minimum Search query length is %1","A keresés minimum hossza %1"
"Please specify at least one search term.","Adjon meg legalább egy keresési kifejezést."
"%1 and greater","%1 és nagyobb"
"up to %1","%1-ig"
". "" which is inconsistent with state of scope resolver""","."" amely nem felel meg a hatókör feloldónak"""
"Category","Kategória"
"%1 and above","%1 és felette"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Sajnáljuk, de valami elromlott. Többet megtudhat a hibanaplóból."
"Bucket does not exist","A tároló nem létezik"
"Product","Termék"
"Search Settings","Keresési beállítások"
"Search","Keresés"
"Advanced Search","Részletes keresés"
"<strong>%1 item</strong> were found using the following search criteria","A keresési kifejezésnek <strong>%1 cikk</strong> felel meg"
"<strong>%1 items</strong> were found using the following search criteria","A keresési kifejezésnek <strong>%1 cikkek</strong> felelnek meg"
"We can't find any items matching these search criteria.","Nincs a megadott feltételeknek megfelelő találat."
"Modify your search.","Keresés módosítása."
"name","név"
"Don't see what you're looking for?","Nem látja, amit keres?"
"Your search returned no results.","A keresés nem adott vissza találatokat."
"Popular Search Terms","Népszerű keresési kifejezések"
"Catalog Search","Katalógus keresés"
"Minimal Query Length","Lekérdezés minimum hossza"
"Maximum Query Length","Lekérdezés maximum hossza"
"Rebuild Catalog product fulltext search index","Katalógus kulcsszavas keresés indexének újraépítése"
"Please enter a valid price range.","Please enter a valid price range."
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
