"Home","ホーム"
"Go to Home Page","ホームページへ"
"Catalog Advanced Search","詳細な検索"
"All","全て"
"Yes","Yes"
"No","No"
"Results","結果"
"Advanced Search Results","詳細検索結果"
"Grid","表"
"List","リスト"
"Search Weight","検索ウエイト"
"Relevance","関係性"
"Search results for: '%1'","'%1' の検索結果"
"Minimum Search query length is %1","最低限の検索クエリの長さは %1"
"Search term is empty","検索キーワードが空です"
"Please specify at least one search term.","1つ以上のキーワードを指定してください。"
"%1 and greater","%1 とそれ以上"
"up to %1","最大で %1"
". "" which is inconsistent with state of scope resolver""",". "" スコープリゾルバのいずれかの状態に不整合があります"""
"Category","カテゴリ"
"%1 and above","%1 と以上"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","申し訳ありません、問題が発生しました。エラーログにて詳細が見つかります。"
"Bucket does not exist","バケットは存在しません"
"Product","商品"
"Search Settings","検索条件"
"Search","検索"
"Advanced Search","詳細検索"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 アイテム</strong>が以下の検索条件にて見つかりました"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 アイテム</strong>が以下の検索条件にて見つかりました"
"We can't find any items matching these search criteria.","これらの検索クライテリアにマッチするアイテムが見つかりません"
"Modify your search.","検索を修正"
"name","名前"
"Don't see what you're looking for?","お探しの商品が見つかりませんか？"
"Your search returned no results.","検索に一致する商品はありませんでした。"
"Catalog Section","カタログセクション"
"Catalog Search","商品検索"
"Popular Search Terms","人気の検索語句"
"Minimal Query Length","最少クエリ文字数"
"Maximum Query Length","最大クエリ文字数"
"Number of top search results to cache","キャッシュする上位検索結果の数"
"Rebuild Catalog product fulltext search index","商品全文検索インデックス"
"Bucket do not exists","バケットは存在しません"
"Modify your search","検索を修正"
"Test Exception","テスト例外"
"Please enter a valid price range.","有効な価格範囲を入力してください。"
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","レスポンスを早くするためにキャッシュに入れる人気の検索キーワードの数。 2回目に検索した後にすべての結果をキャッシュするには「0」を使用します。"
"Enable EAV Indexer","EAV インデクサーを有効にする"
"Enter a search term and try again.","検索キーワードを入力して再度お試し下さい。"
"An error occurred. For details, see the error log.","エラーが発生しました。詳細はログをご覧ください。"
"The bucket doesn't exist.","バケットは存在しません。"
"Deprecation Notice","廃止通知"
"Autocomplete Limit","オートコンプリートリミット"
