"Home","Rumah"
"Go to Home Page","Buka Halaman Depan"
"Catalog Advanced Search","Katalog Pencarian Lanjutan"
"All","Semua"
"Yes","Ya"
"No","Tidak"
"Results","Hasil"
"Advanced Search Results","Hasil Penelusuran Lanjutan"
"Grid","Kisi"
"List","Daftar"
"Search Weight","Berat pencarian"
"Relevance","Relevansi"
"Search results for: '%1'","Hasil pencarian untuk: '%1'"
"Minimum Search query length is %1","Panjang kueri Penelusuran Minimum adalah %1"
"Search term is empty","Search term is empty"
"Please specify at least one search term.","Please specify at least one search term."
"%1 and greater","%1 dan lebih besar"
"up to %1","sampai dengan %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Kategori"
"%1 and above","%1 keatas"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Bucket does not exist","Bucket does not exist"
"Product","Produk"
"Search Settings","Pengaturan pencarian"
"Search","Pencarian"
"Advanced Search","Penelusuran Lanjutan"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> ditemukan dengan menggunakan kriteria pencarian berikut"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 item</strong> ditemukan dengan menggunakan kriteria pencarian berikut"
"We can't find any items matching these search criteria.","Kami tidak dapat menemukan item yang sesuai dengan kriteria pencarian ini."
"Modify your search.","Ubah pencarian Anda."
"name","nama"
"Don't see what you're looking for?","Tidak melihat apa yang Anda cari?"
"Your search returned no results.","Pencarian Anda tidak menghasilkan apa-apa."
"Catalog Section","Catalog Section"
"Catalog Search","Pencarian Katalog"
"Popular Search Terms","Istilah Pencarian Populer"
"Minimal Query Length","Panjang Permintaan Minimal"
"Maximum Query Length","Panjang Permintaan Maksimum"
"Number of top search results to cache","Number of top search results to cache"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Bucket do not exists","Bucket do not exists"
"Modify your search","Modify your search"
"Test Exception","Test Exception"
"Please enter a valid price range.","Masukkan kisaran harga yang berlaku."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Enable EAV Indexer","Enable EAV Indexer"
"Enter a search term and try again.","Enter a search term and try again."
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Deprecation Notice","Deprecation Notice"
"Autocomplete Limit","Autocomplete Limit"
