"Home","Forsiden"
"Go to Home Page","Gå til forsiden"
"Catalog Advanced Search","Katalog avanceret søgning"
"All","Alle"
"Yes","Ja"
"No","Nej"
"Results","Resultater"
"Advanced Search Results","Avancerede søgeresultater"
"Grid","Gitter"
"List","Liste"
"Search Weight","Search Weight"
"Relevance","Relevans"
"Search results for: '%1'","Søgeresultater for: '%1'"
"Minimum Search query length is %1","Søgeforespørgsel minimumslængde er %1"
"Search term is empty","Search term is empty"
"Enter a search term and try again.","Enter a search term and try again."
"%1 and greater","%1 og større"
"up to %1","op til %1"
"Default product collection strategy not found","Default product collection strategy not found"
"Category","Kategori"
"%1 and above","%1 og derover"
"%1 - %2","%1 - %2"
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Product","Produkt"
"Disable Notice","Disable Notice"
"Test Exception","Test Exception"
"Search Settings","Søgeindstillinger"
"Search","Søg"
"Please enter a valid price range.","Please enter a valid price range."
"Advanced Search","Avanceret søgning"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 vare</strong> blev fundet ved hjælp af følgende søgekriterier"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 varer</strong> blev fundet ved hjælp af følgende søgekriterier"
"We can't find any items matching these search criteria.","Vi kan ikke finde nogen der opfylder disse søgekriterier."
"Modify your search.","Ændre din søgning."
"name","navn"
"Don't see what you're looking for?","Kan du ikke finde det, du leder efter?"
"Your search returned no results.","Din søgning gav ingen resultater."
"Catalog Section","Catalog Section"
"Catalog Search","Katalogsøgning"
"Popular Search Terms","Populære søgeord"
"Minimal Query Length","Minimum længde på forespørgselse"
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"Maximum Query Length","Maximum længde på forespørgselse"
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
"Number of top search results to cache","Number of top search results to cache"
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Autocomplete Limit","Autocomplete Limit"
"Enable EAV Indexer","Enable EAV Indexer"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
