"Home","Domov"
"Go to Home Page","Prejdite na domovskú stránku"
"Catalog Advanced Search","Pokročilé vyhľadávanie v katalógu"
"All","Všetky"
"Yes","Áno"
"No","Nie"
"Results","Výsledky"
"Advanced Search Results","Výsledky pokročilého vyhľadávania"
"Grid","Mriežka"
"List","Zoznam"
"Search Weight","Váha hladania"
"Relevance","Relevancia"
"Search results for: '%1'","Výsledky hľadania pre: ""%1"""
"Minimum Search query length is %1","Minimálna dĺžka dotazu pre vyhľadávanie je %1"
"Please specify at least one search term.","Zadajte aspoň jeden hľadaný výraz."
"%1 and greater","%1 a väčší"
"up to %1","až %1"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","Kategória"
"%1 and above","%1 a viac"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Ospravedlňujeme sa, ale niečo sa pokazilo. Viac informácii zistíte v systémovom zápise."
"Bucket does not exist","Bucket does not exist"
"Product","Produkt"
"Search Settings","Nastavenia vyhľadávania"
"Search","Hľadať"
"Advanced Search","Rozšírené vyhľadávanie"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 položky</strong> boli nájdené pomocou nasledujúcich kritérií vyhľadávania"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 položky</strong> boli nájdené pomocou nasledujúcich kritérií vyhľadávania"
"We can't find any items matching these search criteria.","Nemôžeme nájsť žiadne položky vyhovujúce zadaným kritériám."
"Modify your search.","Upravte vaše vyhľadávanie."
"name","meno"
"Don't see what you're looking for?","Nemôžete nájsť, čo hľadáte?"
"Your search returned no results.","Žiadne výsledky pre vaše vyhľadávanie."
"Popular Search Terms","Často vyhľadávané výrazy"
"Catalog Search","Katalóg vyhľadávania"
"Minimal Query Length","Minimálna dĺžka dotazu"
"Maximum Query Length","Maximálna dĺžka dotazu"
"Rebuild Catalog product fulltext search index","Obnoviť indexy pre fulltextové vyhľadávanie v katalógu produktov"
"Please enter a valid price range.","Please enter a valid price range."
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
