"Home","ಮುಖಪುಟ"
"Go to Home Page","ಮುಖಪುಟಕ್ಕೆ ತೆರಳಿ"
"Catalog Advanced Search","Catalog Advanced Search"
"All","ಎಲ್ಲಾ"
"Yes","ಹೌದು"
"No","ಇಲ್ಲ"
"Results","ಫಲಿತಾಂಶಗಳು"
"Advanced Search Results","ಸುಧಾರಿತ ಹುಡುಕಾಟದ ಫಲಿತಾಂಶಗಳು"
"Grid","ಗ್ರಿಡ್"
"List","ಪಟ್ಟಿ"
"Search Weight","ಹುಡುಕಾಟದ ತೂಕ"
"Relevance","ಪ್ರಸ್ತುತತೆ"
"Search results for: '%1'","ಹುಡುಕಾಟದ ಫಲಿತಾಂಶಗಳು: '%1'"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Search term is empty","Search term is empty"
"Please specify at least one search term.","Please specify at least one search term."
"%1 and greater","%1 ಮತ್ತು ಹೆಚ್ಚಿನ"
"up to %1","%1 ರ ವರೆಗೆ"
". "" which is inconsistent with state of scope resolver""",". "" which is inconsistent with state of scope resolver"""
"Category","ವಿಭಾಗ"
"%1 and above","%1 ಮತ್ತು ಮೇಲೆ"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Bucket does not exist","Bucket does not exist"
"Product","ಉತ್ಪನ್ನ"
"Search Settings","ಹುಡುಕಾಟದ ಸಿದ್ದತೆಗಳು"
"Search","ಹುಡುಕಿ"
"Advanced Search","ಸುಧಾರಿತ ಹುಡುಕಾಟ"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"We can't find any items matching these search criteria.","We can't find any items matching these search criteria."
"Modify your search.","ನಿಮ್ಮ ಹುಡುಕಾಟವನ್ನು ಬದಲಿಸಿ."
"name","ಹೆಸರು"
"Don't see what you're looking for?","ನಿಮಗೆ ಬೇಕಾದ್ದು ಸಿಗಲಿಲ್ಲವೇ?"
"Your search returned no results.","ನಿಮ್ಮ ಹುಡುಕಾಟ ಯಾವುದೇ ಫಲಿತಾಂಶಗಳನ್ನು ನೀಡಿಲ್ಲ."
"Catalog Section","Catalog Section"
"Catalog Search","Catalog Search"
"Popular Search Terms","Popular Search Terms"
"Minimal Query Length","Minimal Query Length"
"Maximum Query Length","Maximum Query Length"
"Number of top search results to cache","Number of top search results to cache"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Bucket do not exists","Bucket do not exists"
"Modify your search","Modify your search"
"Test Exception","Test Exception"
"Please enter a valid price range.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಬೆಲೆ ಶ್ರೇಣಿಯನ್ನು ನಮೂದಿಸಿ."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Enable EAV Indexer","Enable EAV Indexer"
"Enter a search term and try again.","Enter a search term and try again."
"An error occurred. For details, see the error log.","ಒಂದು ದೋಷ ಸಂಭವಿಸಿದೆ. ವಿವರಗಳಿಗಾಗಿ ಎರರ್ ಲಾಗ್ ಅನ್ನು ವೀಕ್ಷಿಸಿ."
"The bucket doesn't exist.","The bucket doesn't exist."
"Deprecation Notice","Deprecation Notice"
"Autocomplete Limit","ಸ್ವಯಂಪೂರ್ಣತೆಯ ಮಿತಿ"
