"Home","Početna"
"Go to Home Page","Idi na početnu stranicu"
"Catalog Advanced Search","Napredna Pretraga Kataloga"
"All","Sve"
"Yes","Da"
"No","Ne"
"Results","Rezultati"
"Advanced Search Results","Napredna Pretraga Rezultata"
"Grid","Mreža"
"List","Lista"
"Search Weight","Pretraži Težinu"
"Relevance","Relevantnost"
"Search results for: '%1'","Pretraži rezultate za: '%1'"
"Minimum Search query length is %1","Minimalna dužina niza pretrage je %1"
"Search term is empty","Traženi termin je prazan"
"Please specify at least one search term.","Molim vas da navedete najmanje jedan pojam za traženje."
"%1 and greater","%1 i veće"
"up to %1","do %1"
". "" which is inconsistent with state of scope resolver""",". ""što nije u skladu sa izjavom o rešavanju opsega"""
"Category","Kategorija"
"%1 and above","%1 i iznad"
"%1 - %2","%1 x %2"
"Sorry, something went wrong. You can find out more in the error log.","Izvini, nešto krenulo naopako. Više o grešci možete pronaći u evidenciji grešaka."
"Bucket does not exist","Bucket does not exist"
"Product","Proizvod"
"Search Settings","Podešavanje pretrage"
"Search","Pretraga"
"Advanced Search","Napredna pretraga"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 proizvod</strong> je pronađen koristeći sledeće kriterijume pretrage"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 proizvod</strong> je pronađen koristeći sledeće kriterijume pretrage"
"We can't find any items matching these search criteria.","We can't find any items matching these search criteria."
"Modify your search.","Prilagodite svoju pretragu."
"name","naziv"
"Don't see what you're looking for?","Ne vidite ono što tražite?"
"Your search returned no results.","Vaša pretraga nije vratila rezultate."
"Catalog Section","Deo kataloga"
"Catalog Search","Pretraga kataloga"
"Popular Search Terms","Popularni traženi pojmovi"
"Minimal Query Length","Minimalna dužina upita"
"Maximum Query Length","Maksimalna dužina upita"
"Number of top search results to cache","Broj rezultata pretraga na vrhu za keširanje"
"Rebuild Catalog product fulltext search index","Ponovo pokreni pretragu kataloga kucanjem punog naziva"
"Bucket do not exists","Bucket do not exists"
"Modify your search","Izmenite pretragu"
"Test Exception","Izuzetak testa"
"Please enter a valid price range.","Molimo unesite validni opseg cene."
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Broj popularnih pretraživanih termina koji se keširaju za brži odgovor. Koristi ""0"" da keširate sve rezultate nakon što je pojam tražen drugi put."
"Enable EAV Indexer","Omogući EAV Indekser"
"Enter a search term and try again.","Upišite termin za pretragu i pokušajte ponovo."
"An error occurred. For details, see the error log.","Došlo je do greške. Za detalje, proverite izveštaj grešaka."
"The bucket doesn't exist.","Kopča ne postoji."
"Deprecation Notice","Obaveštenje o deprecijaciji"
"Autocomplete Limit","Autokomplit Limit"
