"New Accounts","Νέοι Λογαριασμοί"
"Customers by number of orders","Πελάτες ανά αριθμό παραγγελιών"
"Customers by Orders Total","Πελάτες ανα Συνολο Παραγγελιών"
"Filter","Φίλτρο"
"Date Used","Ημερομηνία που χρησιμοποιείται"
"Day","Ημέρα"
"Month","Μήνας"
"Year","Έτος"
"Period","Περίοδος"
"From","Από"
"To","Έως"
"Yes","Ναί"
"No","Όχι"
"Empty Rows","Κενές γραμμές"
"Invalid date specified","Μη έγκυρη ημερομηνία καθορίστηκε"
"Refresh","Ανανέωση"
"We can't find records for this period.","Δεν μπορούμε να βρούμε εγγραφές για αυτήν την περίοδο."
"Show Reviews","Προβολή Αξιολογήσεων"
"Products Report","Έκθεση προϊόντων"
"Downloads","Μεταφορτώσεις"
"Product","Προϊόν"
"Link","Σύνδεσμος"
"SKU","Κωδικός"
"Purchases","Αγορές"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Απεριόριστα"
"Low stock","Χαμηλό απόθεμα"
"Products Ordered","Προϊόντα που παραγγέλθηκαν"
"Most Viewed","Περισσότερο εμφανισμένα"
"Show Report","Παρουσίαση έκθεσης"
"Interval","Χρονικό διάστημα"
"Total","Σύνολο"
"Price","Τιμή"
"Views","Προβολές"
"Refresh Statistics","Ανανέωση Στατιστικών"
"Customers Reviews","Αξιολογήσεις Πελατών"
"Reviews for %1","Αξιολογήσεις για το %1"
"Customer","Πελάτης"
"Title","Τίτλος"
"Detail","Λεπτομέρεια"
"Created","Δημιουργήθηκε"
"Products Reviews","Αξιολογήσεις Προϊόντων"
"Products Bestsellers Report","Έκθεση προϊόντων μπεστ σέλερ"
"Order Quantity","Ποσότητα παραγγελίας"
"Coupons Usage Report","Αναφορά Χρήσεων Κουπονιών"
"Subtotal","Υποσύνολο"
"Coupon Code","Κωδικός Κουπονιού"
"Price Rule","Κανόνας Τιμής"
"Uses","Χρησιμοποιεί"
"Sales Subtotal","Μερικό άθροισμα πωλήσεων"
"Sales Discount","Έκπτωση Πωλήσεων"
"Sales Total","Σύνολο Πωλήσεων"
"Discount","Έκπτωση"
"Total Invoiced vs. Paid Report","Έκθεση Σύνολου Τιμολογημένων έναντι πληρωμένων"
"Orders","Παραγγελίες"
"Invoiced Orders","Τιμολογημένες Παραγγελίες"
"Total Invoiced","Σύνολο Τιμολογημένων"
"Paid Invoices","Πληρωμένα Τιμολόγια"
"Unpaid Invoices","Απνεξόφλητα Τιμολόγια"
"Total Refunded Report","Έκθεση Συνολικών Επιστροφών"
"Refunded Orders","Επιστρεφόμενες Παραγγελίες"
"Total Refunded","Συνολικό ποσό Επιστροφής"
"Online Refunds","Επιστροφές κατά την εργασία με σύνδεση"
"Offline Refunds","Επιστροφές κατά την εργασία χωρίς σύνδεση"
"Total Ordered Report","Έκθεση Συνολικών Παραγγελθέντων"
"Sales Items","Στοιχεία Πωλήσεων"
"Items","Είδη"
"Revenue","Έσοδα"
"Profit","Κέρδος"
"Invoiced","Τιμολογημένα"
"Paid","Εξοφλημένα"
"Refunded","Επιστράφηκαν"
"Sales Tax","Φόρος Πωλήσεων"
"Tax","Φόροι"
"Sales Shipping","Αποστολές Πωλήσεων"
"Shipping","Μεταφορικά"
"Canceled","Ακυρώθηκε"
"Total Shipped Report","Έκθεση Συνολικών Αποσταλθέντων"
"Carrier/Method","Μεταφορέας/μέθοδος"
"Total Sales Shipping","Σύνολο μεταφορικών πωλήσεων"
"Total Shipping","Σύνολο μεταφορικών"
"Order Taxes Report Grouped by Tax Rate","Αναφορά φόρων παραγγελίας που ομαδοποιούνται ανά φορολογικό συντελεστή"
"Rate","Ποσοστό"
"Tax Amount","Ποσό του φόρου"
"Abandoned carts","Εγκαταλειμμένα καλάθια"
"Email","Email"
"Products","Προϊόντα"
"Quantity","Ποσότητα"
"Applied Coupon","Εφαρμοσμένο κουπόνι"
"Updated","Ενημερώθηκε"
"IP Address","Διεύθυνση IP"
"Customers","Πελάτες"
"ID","ID"
"First Name","Όνομα"
"Last Name","Επώνυμο"
"Items in Cart","Είδη στο Καλάθι"
"Products in carts","Προϊόντα σε καλάθια"
"Carts","Καλάθια"
"Name","Όνομα"
"Wish Lists","Λίστες Επιθυμιών"
"Wish List Purchase","Λίστα αγοράς επιθυμιών"
"Wish List vs. Regular Order","Λίστα επιθυμιών έναντι Κανονικής παραγγελίας"
"Times Deleted","Φορές διαγράφηκε"
"Index type is not valid","Τύπος δείκτη δεν είναι έγκυρος"
"Reports","Αναφορές"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","Τελευταία ενημέρωση: %1. Για να ανανεώσετε τις τελευταίες ημέρες για τα <a href=""%2"">Στατιστικά στοιχεία</a>, κάντε κλικ <a href=""%3""> εδώ</a>."
"New Accounts Report","Νέα έκθεση λογαριασμών"
"Customers by Number of Orders","Πελάτες ανά αριθμό παραγγελιών"
"Order Count Report","Αναφορά καταμέτρησης παραγγελιών"
"Order Total Report","Αναφορά συνόλων παραγγελίας"
"Downloads Report","Λήψεις Έκθεσης"
"Low Stock","Χαμηλό απόθεμα"
"Low Stock Report","Έκθεση Χαμηλού Αποθέματος"
"Ordered Products Report","Έκθεση Παραγγελθέντων Προϊόντων"
"Products Most Viewed Report","Έκθεση Περισσότερο Προβληθέντων Προϊόντων"
"Product Views Report","Έκθεση Προβληθέντων Προϊόντων"
"An error occurred while showing the product views report. Please review the log and try again.","Παρουσιάστηκε σφάλμα κατά τη προβολή αναφοράς συστήματος προβληθέντων προϊόντων. Παρακαλούμε αναθεωρήστε καταγραφή και προσπαθήστε ξανά."
"Review","Αξιολόγηση"
"Reviews","Αξιολογήσεις"
"Customers Report","Αναφορά Πελατών"
"Customer Reviews Report","Έκθεση Αξιολογήσεων Πελάτη"
"Product Reviews Report","Έκθεση Κριτικών Προϊόντων"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Details","Λεπτομέρειες"
"Sales","Πωλήσεις"
"Bestsellers Report","Έκθεση Καλύτερων Πωλητών"
"Coupons","Κουπόνια"
"Coupons Report","Αναφορά Κουπονιών"
"Invoice Report","Έκθεση Τιμολόγιου"
"Refunds Report","Αναφορά Επιστροφών"
"Sales Report","Έκθεση πωλήσεων"
"Orders Report","Αναφορά παραγγελιών"
"Shipping Report","Έκθεση Αποστολής"
"Tax Report","Έκθεση Φορολογίας"
"Shopping Cart","Καλάθι"
"Abandoned Carts","Εγκαταλειμμένα Καλάθια"
"Customer Shopping Carts","Καλάθια Αγορών Πελάτη"
"Products in Carts","Προϊόντα σε Καλάθια"
"Statistics","Στατιστικά στοιχεία"
"No report code is specified.","Δεν έχει καθοριστεί καμία έκθεση κωδικού."
"You refreshed lifetime statistics.","Ανανεώσατε στατιστικά διάρκεια ζωής."
"We can't refresh lifetime statistics.","Δεν είναι δυνατή η ανανέωση στατιστικών διάρκεια ζωής."
"Recent statistics have been updated.","Πρόσφατα στατιστικά έχουν ενημερωθεί."
"We can't refresh recent statistics.","Δεν είναι δυνατή η ανανέωση πρόσφατων στατιστικών."
"The product type filter specified is incorrect.","Το φίλτρο τύπου προϊόντος που καθορίστηκε είναι εσφαλμένο."
"Order Taxes Report Grouped by Tax Rates","Αναφορά φόρων παραγγελίας που ομαδοποιούνται ανά φορολογικούς συντελεστές"
"Total Invoiced VS Paid Report","Έκθεση Σύνολου Τιμολογημένων έναντι πληρωμένων"
"Promotion Coupons Usage Report","Έκθεση Χρήσης κουπονιών προώθησης"
"Bestsellers","Δημοφιλέστερα"
"Most Viewed Products Report","Έκθεση Περισσότερο Προβληθέντων Προϊόντων"
"Error","Σφάλμα"
"Show By","Εμφάνιση κατά"
"Select Date","Επιλέξτε Ημερομηνία"
"Customers that have Wish List: %1","Πελάτες που έχουν Λίστα Επιθυμιών: %1"
"Number of Wish Lists: %1","Αριθμός Λιστών Επιθυμιών: %1"
"Number of items bought from a Wish List: %1","Αριθμός στοιχείων που αγοράστηκαν από μία Λίστα Επιθυμιών: %1"
"Number of times Wish Lists have been shared (emailed): %1","Αριθμός φορών που μοιράστηκαν Λίστες Επιθυμιών: %1"
"Number of Wish List referrals: %1","Αριθμός των παραπομπών Λιστών Επιθυμιών: %1"
"Number of Wish List conversions: %1","Αριθμός των μετατροπών Λιστών Επιθυμιών: %1"
"Show Report For:","Προβολή Έκθεσης για:"
"All Websites","Όλες οι Ιστοσελίδες"
"Recently Viewed","Είδατε Πρόσφατα"
