"New Accounts","新しいアカウント"
"Customers by number of orders","顧客ごとの注文件数"
"Customers by Orders Total","顧客ごとの購入合計"
"Filter","フィルタ"
"Date Used","期間の指定"
"Day","日"
"Month","月"
"Year","年"
"Period","期間"
"From","開始"
"To","終了"
"Yes","Yes"
"No","No"
"Empty Rows","空白行"
"Invalid date specified","無効な日付が指定されました"
"Refresh","更新"
"We can't find records for this period.","この期間のレコードが見つかりません。"
"Show Reviews","レビューを表示"
"Products Report","商品レポート"
"Downloads","ダウンロード"
"Product","商品"
"Link","リンク"
"SKU","商品番号"
"Purchases","購入品"
"CSV","CSVファイル"
"Excel XML","Excel形式XML"
"Unlimited","無制限"
"Low stock","在庫薄"
"Products Ordered","最近注文された商品"
"Most Viewed","最も閲覧された"
"Show Report","レポート表示"
"Interval","インターバル"
"Total","合計"
"Price","価格"
"Views","ビュー"
"Refresh Statistics","統計を更新"
"Customers Reviews","顧客のレビュー"
"Reviews for %1","%1 のレビュー"
"Customer","顧客"
"Title","タイトル"
"Detail","詳細"
"Created","作成済"
"Products Reviews","商品レビュー"
"Products Bestsellers Report","商品ベストセラーレポート"
"Order Quantity","注文数量"
"Coupons Usage Report","クーポン使用レポート"
"Subtotal","小計"
"Coupon Code","クーポンコード"
"Price Rule","価格ルール"
"Uses","使用"
"Sales Subtotal","売上サブトータル"
"Sales Discount","値引"
"Sales Total","合計"
"Discount","値引き"
"Total Invoiced vs. Paid Report","請求額と支払額のレポート"
"Orders","注文"
"Invoiced Orders","インボイス注文"
"Total Invoiced","請求額合計"
"Paid Invoices","払い済みインボイス"
"Unpaid Invoices","未払いインボイス"
"Total Refunded Report","返金レポート"
"Refunded Orders","返金注文"
"Total Refunded","返金合計"
"Online Refunds","オンライン返金"
"Offline Refunds","オフライン返金"
"Total Ordered Report","注文合計レポート"
"Sales Items","販売商品"
"Items","アイテム"
"Revenue","収入"
"Profit","利益"
"Invoiced","請求済"
"Paid","支払済"
"Refunded","返金"
"Sales Tax","消費税"
"Tax","税"
"Sales Shipping","送料"
"Shipping","配送"
"Canceled","キャンセル済"
"Total Shipped Report","合計配送レポート"
"Carrier/Method","配送業者・配送方法"
"Total Sales Shipping","合計配送料金"
"Total Shipping","合計送料"
"Order Taxes Report Grouped by Tax Rate","注文税レポートを税率でグループ化する"
"Rate","レート"
"Tax Amount","税"
"Abandoned carts","無効になったショッピングカート"
"Email","Eメール"
"Products","商品"
"Quantity","個数"
"Applied Coupon","適用されたクーポン"
"Updated","更新"
"IP Address","IPアドレス"
"Customers","顧客"
"ID","ID"
"First Name","名"
"Last Name","姓"
"Items in Cart","点の商品"
"Products in carts","カート内の商品"
"Carts","カート"
"Name","名前"
"Wish Lists","ほしい物リスト"
"Wish List Purchase","ほしい物リスト購入"
"Wish List vs. Regular Order","ほしい物リスト vs. 通常注文"
"Times Deleted","削除された時間"
"Index type is not valid","インデックスタイプが有効ではありません"
"Reports","レポート"
"Last updated: %1. To refresh last day's <a href=""%2"">statistics</a>, click <a href=""%3"">here</a>.","最終更新日: %1。 最終日の<a href=""%2"">統計情報</a>に更新するには、<a href=""#2"" data-post=""%3"">ここ</a>をクリックしてください。"
"New Accounts Report","新しいアカウントレポート"
"Customers by Number of Orders","顧客ごとの注文件数"
"Order Count Report","注文カウントレポート"
"Order Total Report","注文トータルレポート"
"Downloads Report","ダウンロードレポート"
"Low Stock","在庫薄"
