"Page not found.","Página não encontrada."
"You can't send messages more than %1 times an hour.","Não pode enviar mais do que %1 mensagens por hora."
"The link to a friend was sent.","Foi enviado o link para um amigo."
"We found some problems with the data.","Encontrámos alguns problemas com os dados."
"Some emails were not sent.","Alguns e-mails não foram enviados."
"You've met your limit of %1 sends in an hour.","Excedeu o seu limite de %1 envios por hora."
"Please enter a sender name.","Por favor insira um nome de remetente."
"Invalid Sender Email","E-mail do remetente inválido"
"Please enter a message.","Por favor escreva uma mensagem."
"Please specify at least one recipient.","Por favor, especifique pelo menos um destinatário."
"Please enter a correct recipient email address.","Por favor insira um endereço de e-mail correto para o destinatário."
"No more than %1 emails can be sent at a time.","Não podem ser enviados mais do que %1 e-mails de cada vez."
"Please define a correct product instance.","Por favor defina uma instância de produto correto."
"Invalid Sender Information","Invalid Sender Information"
"Please define the correct sender information.","Please define the correct sender information."
"IP Address","Endereço de IP"
"Cookie (unsafe)","Cookie (inseguro)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Remove Recipent"
"Remove","Eliminar"
"Name","Nome"
"Email","Correio electrónico"
"* Required Fields","* Campos Obrigatórios"
"Sender","Remetente"
"Message","Mensagem"
"Invitee","Convidado"
"Maximum %1 email addresses allowed.","São permitidos até %1 endereços de email."
"Add Invitee","Adicionar Convidado"
"Send Email","Enviar E-mail"
"Back","Voltar"
"Welcome, %name","Bem-vindo(a), %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name wants to share this product with you:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Enviar por Email a um Amigo"
"Email Templates","Templates de Email"
"Enabled","Ativo"
"Select Email Template","Select Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O template de email é escolhido com base no tema de recurso quando a opção ""Default"" está selecionada."
"Allow for Guests","Permitir para Convidados"
"Max Recipients","Max Recipients"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Limit Sending By","Limit Sending By"
