"Page not found.","Pagina non trovata."
"You can't send messages more than %1 times an hour.","Non è possibile inviare messaggi più di %1 volte in un'ora."
"The link to a friend was sent.","Il link di invio all'amico è stato inviato."
"We found some problems with the data.","Sono stati trovati alcuni problemi con i dati."
"Some emails were not sent.","Alcuni messaggi non sono stati inviati."
"You've met your limit of %1 sends in an hour.","Hai incontrato il limite di %1 invii in un'ora."
"Please enter a sender name.","Inserisci un nome mittente."
"Invalid Sender Email","Email mittente non valido"
"Please enter a message.","Inserisci un messaggio."
"Please specify at least one recipient.","Specifica almeno un destinatario."
"Please enter a correct recipient email address.","Inserisci un indirizzo email del destinatario corretto."
"No more than %1 emails can be sent at a time.","Non possono essere inviati più di %1 email alla volta."
"Please define a correct product instance.","Definisci un'istanza di prodotto corretta."
"Invalid Sender Information","Informazioni mittente non validi"
"Please define the correct sender information.","Definisci le informazioni del mittente corrette."
"IP Address","Indirizzo IP"
"Cookie (unsafe)","Cookie (non sicuro)"
"No Product Exception.","Nessuna eccezione prodotto."
"No Category Exception.","Nessuna eccezione categoria."
"Some error","Qualche errore"
"Localized Exception.","Eccezione localizzata."
"Exception.","Eccezione."
"Remove Recipent","Rimuovere destinatario"
"Remove","Elimina"
"Name","Nome"
"Email","Email"
"* Required Fields","* Campi obbligatori"
"Sender","Mittente"
"Message","Messaggio"
"Invitee","Invitato"
"Maximum %1 email addresses allowed.","%1 indirizzi email massimi consentiti."
"Add Invitee","Aggiungi invitati"
"Send Email","Invia email"
"Back","Indietro"
"Welcome, %name","Benvenuto, %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name vuole condividere questo prodotto con te:"
"Message from %sender_name:","Messaggio da %sender_name:"
"Email to a Friend","Segnala ad un amico"
"Email Templates","Email Templates"
"Enabled","Abilitato"
"Select Email Template","Seleziona Template Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Il template email scelto basato su fallback del tema quando è selezionata l'opzione ""Predefinito""."
"Allow for Guests","Permetti agli ospiti"
"Max Recipients","Destinatari Massimi"
"Max Products Sent in 1 Hour","Massimi prodotti inviati in 1 ora"
"Limit Sending By","Limite di invio di"
