"Page not found.","페이지를 찾을 수 없습니다."
"You can't send messages more than %1 times an hour.","You can't send messages more than %1 times an hour."
"The link to a friend was sent.","친구에게 링크를 보냈습니다."
"We found some problems with the data.","We found some problems with the data."
"Some emails were not sent.","일부 메일이 전송 되지 않았습니다."
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"Please enter a sender name.","보내는 사람의 이름을 입력 하십시오."
"Invalid Sender Email","보내는 사람의 이메일 주소가 잘못되었습니다."
"Please enter a message.","메시지를 입력하세요."
"Please specify at least one recipient.","Please specify at least one recipient."
"Please enter a correct recipient email address.","받는 사람의 이메일주소를 바르게 입력해주세요."
"No more than %1 emails can be sent at a time.","No more than %1 emails can be sent at a time."
"Please define a correct product instance.","Please define a correct product instance."
"Invalid Sender Information","Invalid Sender Information"
"Please define the correct sender information.","Please define the correct sender information."
"IP Address","IP Address"
"Cookie (unsafe)","Cookie (unsafe)"
"Remove Recipent","Remove Recipent"
"Remove","삭제"
"Name","이름 "
"Email","이메일 주소"
"* Required Fields","* 필수 항목"
"Sender","Sender"
"Message","메세지"
"Invitee","Invitee"
"Maximum %1 email addresses allowed.","허용 되는 최대 이메일 주소는 %1개 입니다."
"Add Invitee","Add Invitee"
"Send Email","이메일 전송"
"Back","이전"
"Welcome, %name","%name님, 환영합니다!"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name wants to share this product with you:"
"Email to a Friend","친구에게 이메일보내기"
"Email Templates","Email Templates"
"Enabled","활성화"
"We strongly recommend to enable a <a href=""https://devdocs.magento.com/guides/v2.4/security/google-recaptcha.html"" target=""_blank"">CAPTCHA solution</a> alongside enabling ""Email to a Friend"" to ensure abuse of this feature does not occur.","We strongly recommend to enable a <a href=""https://devdocs.magento.com/guides/v2.4/security/google-recaptcha.html"" target=""_blank"">CAPTCHA solution</a> alongside enabling ""Email to a Friend"" to ensure abuse of this feature does not occur."
"Select Email Template","Select Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Allow for Guests","Allow for Guests"
"Max Recipients","Max Recipients"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Limit Sending By","Limit Sending By"
