"Page not found.","ページが見つかりません。"
"You can't send messages more than %1 times an hour.","1時間に %1回以上メッセージを送信することはできません。"
"The link to a friend was sent.","リンクを友達に送信しました。"
"We found some problems with the data.","データに問題をみつけました"
"Some emails were not sent.","何件かのメールが送信できませんでした。"
"You've met your limit of %1 sends in an hour.","1時間に%1件以上のメールを送信することはできません"
"Please enter a sender name.","送信者の名前を入れてください"
"Invalid Sender Email","無効な送信者メールです"
"Please enter a message.","メッセージを入力して下さい"
"Please specify at least one recipient.","少なくとも一人の受取人を指定してください"
"Please enter a correct recipient email address.","正しい受取人のメールアドレスを入力してください"
"No more than %1 emails can be sent at a time.","%1 以上のメールは一度に送れません"
"Please define a correct product instance.","正しい商品インスタンスを定義してください"
"Invalid Sender Information","不正な送信者情報です。"
"Please define the correct sender information.","正しい送信者情報を定義してください"
"IP Address","IPアドレス"
"Cookie (unsafe)","Cookie (安全ではない)"
"No Product Exception.","製品例外なし。"
"No Category Exception.","カテゴリ例外なし。"
"Some error","何らかのエラー"
"Localized Exception.","ローカライズ例外"
"Exception.","例外。"
"Remove Recipent","受取人削除"
"Remove","削除"
"Name","名前"
"Email","Eメール"
"* Required Fields","* 必須項目"
"Sender","送り主"
"Message","メッセージ"
"Invitee","被招待者"
"Maximum %1 email addresses allowed.","最大 %1 メールアドレスが可能"
"Add Invitee","送信先を追加"
"Send Email","メール送信"
"Back","戻る"
"Welcome, %name","ようこそ, %name"
"%name,","%name、"
"%sender_name wants to share this product with you:","%sender_name はこの商品をあなたとシェアしたがっています:"
"Message from %sender_name:","%sender_nameからのメッセージ:"
"Email to a Friend","友達にメールを送る"
"Email Templates","メールテンプレート"
"Enabled","有効"
"Select Email Template","メールテンプレートを選択"
"Email template chosen based on theme fallback when ""Default"" option is selected."," ""デフォルト""オプションが選択された時、Eメールのテンプレートはテーマの代替を元に選ばれます。 "
"Allow for Guests","ゲストに許可する"
"Max Recipients","最大受信者数"
"Max Products Sent in 1 Hour","1時間あたりの最大送信件数"
"Limit Sending By","送信制限"
