"Page not found.","Stránka nebyla nalezena."
"You can't send messages more than %1 times an hour.","Zprávy nelze odeslat více než %1 krát za hodinu."
"The link to a friend was sent.","Odkaz byl odeslán e-mailem."
"We found some problems with the data.","S daty se vyskytl nějaký problém."
"Some emails were not sent.","Některé e-maily nebyly odeslány."
"You've met your limit of %1 sends in an hour.","Byl dosažen limit %1 odeslání za hodinu."
"Please enter a sender name.","Zadejte jméno odesílatele prosím."
"Invalid Sender Email","Neplatný e-mail odesílatele"
"Please enter a message.","Zadejte zprávu prosím."
"Please specify at least one recipient.","Zadejte alespoň jednoho příjemce."
"Please enter a correct recipient email address.","Zadejte správnou e-mailovou adresu příjemce prosím."
"No more than %1 emails can be sent at a time.","Najednou nelze odeslat více e-mailů než: %1"
"Please define a correct product instance.","Definujte správnou instanci produktu."
"Invalid Sender Information","Neplatné údaje odesílatele"
"Please define the correct sender information.","Zadejte správné údaje odesílatele."
"IP Address","IP adresa"
"Cookie (unsafe)","Cookie (nespolehlivé)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Odebrat příjemce"
"Remove","Odstranit"
"Name","Jméno"
"Email","E-mail"
"* Required Fields","* Povinný údaj"
"Sender","Odesílatel"
"Message","Zpráva"
"Invitee","Oslovení"
"Maximum %1 email addresses allowed.","Povoleno maximálně %1 e-mailových adres."
"Add Invitee","Oslovit"
"Send Email","Odeslat e-mail"
"Back","Zpět"
"Welcome, %name","Vítáme uživatele %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name vám zasílá odkaz na tento produkt:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Odkaz e-mailem"
"Email Templates","Šablony e-mailů"
"Enabled","Zapnuto"
"Select Email Template","Šablona e-mailu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Je-li zvolena volba ""Výchozí"", e-mailová předloha je postavena na záložním tématu."
"Allow for Guests","Povolit hostům"
"Max Recipients","Maximum příjemců"
"Max Products Sent in 1 Hour","Maximum emailů za hodinu"
"Limit Sending By","Limitovat odesílání podle"
