"Page not found.","העמוד לא נמצא."
"You can't send messages more than %1 times an hour.","לא ניתן לשלוח יותר מ-%1 הודעות בשעה."
"The link to a friend was sent.","הקישור לחבר נשלח."
"We found some problems with the data.","מצאנו כמה בעיות עם הנתונים."
"Some emails were not sent.","כמה מיילים לא נשלחו."
"You've met your limit of %1 sends in an hour.","הגעת להגבלה של %1 הודעות בשעה."
"Please enter a sender name.","אנא הזן שם השולח."
"Invalid Sender Email","דואר אלקטרוני של השולח לא חוקי"
"Please enter a message.","נא בחר הודעה."
"Please specify at least one recipient.","נא ציין לפחות נמען אחד."
"Please enter a correct recipient email address.","אנא הכנס כתובת הדואר האלקטרוני של הנמען הנכון."
"No more than %1 emails can be sent at a time.","לא ניתן לשלוח יותר מ%1 מיילים בו זמנית."
"Please define a correct product instance.","נא להגדיר סוג מוצר נכון."
"Invalid Sender Information","פרטי שולח לא חוקיים"
"Please define the correct sender information.","Please define the correct sender information."
"IP Address","‏כתובת IP"
"Cookie (unsafe)","Cookie(לא מאובטח)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","הסרת נמען"
"Remove","הסר"
"Name","שם"
"Email","דואר אלקטרוני"
"* Required Fields","* שדות חובה"
"Sender","שולח"
"Message","הודעה"
"Invitee","Invitee"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Add Invitee","Add Invitee"
"Send Email","שליחת הודעת דוא""ל"
"Back","חזור"
"Welcome, %name","Welcome, %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name wants to share this product with you:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","דואר אלקטרוני לחבר"
"Email Templates","תבניות אימייל"
"Enabled","פעיל"
"Select Email Template","Select Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","תבנית המייל הנבחר בהתבסס על ירושת התבנית כשבוחרים באפשרות ""ברירת מחדל""."
"Allow for Guests","Allow for Guests"
"Max Recipients","Max Recipients"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Limit Sending By","Limit Sending By"
