"Page not found.","Nie znaleziono strony."
"You can't send messages more than %1 times an hour.","Nie możesz wysłać wiadomości ponad %1 razy na godzinę."
"The link to a friend was sent.","Link został wysłany do znajomego."
"We found some problems with the data.","Problem z danymi."
"Some emails were not sent.","Niektóre e-maile nie zostały wysłane."
"You've met your limit of %1 sends in an hour.","Posiadasz limit %1 wysyłek w godzinę."
"Please enter a sender name.","Wprowadź nazwę nadawcy."
"Invalid Sender Email","Nieprawidłowy e-mail nadawcy"
"Please enter a message.","Wpisz wiadomość."
"Please specify at least one recipient.","Proszę określić co najmniej jednego adresata."
"Please enter a correct recipient email address.","Podaj poprawny adres email."
"No more than %1 emails can be sent at a time.","Nie można wysyłać więcej niż %1 wiadomości na raz."
"Please define a correct product instance.","Prosimy zdefiniować poprawną instancję produktu."
"Invalid Sender Information","Nieprawidłowa informacja nadawcy"
"Please define the correct sender information.","Prosimy zdefiniować poprawną informację nadawcy."
"IP Address","Adres IP"
"Cookie (unsafe)","Ciasteczko (niezabezpieczone)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Usuń Odbiorcę"
"Remove","Usuń"
"Name","Nazwa"
"Email","E-mail"
"* Required Fields","* pola wymagane"
"Sender","Nadawca"
"Message","Wiadomość"
"Invitee","Zaproszony"
"Maximum %1 email addresses allowed.","Dopuszczalne maksymalnie %1 adresów e-mail."
"Add Invitee","Dodaj zaproszoną osobę"
"Send Email","Wyślij e-mail"
"Back","Powrót"
"Welcome, %name","Witaj, %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name chce się z tobą podzielić tym produktem:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Wyślij znajomemu"
"Email Templates","Szablony e-mail"
"Enabled","Włączone"
"Select Email Template","Wybierz szablon e-mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Wybrany szablon e-mail oparty na temacie fallback po wybraniu opcji ""Default""."
"Allow for Guests","Wysyłanie maili przez Gości"
"Max Recipients","Maksymalna ilość odbiorców"
"Max Products Sent in 1 Hour","Wysłana maksymalna ilość produktów w 1 godzinie"
"Limit Sending By","Ogranicz wysyłanie o"
