"Page not found.","Sivua ei löydy."
"You can't send messages more than %1 times an hour.","You can't send messages more than %1 times an hour."
"The link to a friend was sent.","Linkki kaverille lähetettiin."
"We found some problems with the data.","We found some problems with the data."
"Some emails were not sent.","Joitain sähköposteja ei lähetetty."
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"Please enter a sender name.","Anna lähettäjän nimi."
"Invalid Sender Email","Virheellinen lähettäjän sähköposti"
"Please enter a message.","Kirjoita viesti."
"Please specify at least one recipient.","Määritä vähintään yksi vastaanottaja."
"Please enter a correct recipient email address.","Please enter a correct recipient email address."
"No more than %1 emails can be sent at a time.","Enintään %1 sähköposti(a) voidaan lähettää kerrallaan."
"Please define a correct product instance.","Please define a correct product instance."
"Invalid Sender Information","Invalid Sender Information"
"Please define the correct sender information.","Please define the correct sender information."
"IP Address","IP-osoite"
"Cookie (unsafe)","Cookie (unsafe)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Poista vastaanottaja"
"Remove","Poista"
"Name","Nimi"
"Email","Sähköposti"
"* Required Fields","* Pakolliset kentät"
"Sender","Lähettäjä"
"Message","Viesti"
"Invitee","Vastaanottaja"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Add Invitee","Lisää vastaanottaja"
"Send Email","Lähetä sähköposti"
"Back","Takaisin"
"Welcome, %name","Tervetuloa, %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name haluaa jakaa tiedon tästä tuotteesta sinulle:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Sähköpostita kaverille"
"Email Templates","Sähköpostimallit"
"Enabled","Käytössä"
"Select Email Template","Valitse sähköpostimalli"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Valittu sähköpostimalli perustuu teeman fallbackiin kun ""Default"" -vaihtoehto on valittuna."
"Allow for Guests","Salli vieraille"
"Max Recipients","Vastaanottajien enimmäismäärä"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Limit Sending By","Limit Sending By"
