"Page not found.","Η σελίδα δεν βρέθηκε."
"You can't send messages more than %1 times an hour.","Δεν μπορείτε να στείλετε μηνύματα περισσότερο από %1 φορές ανά ώρα."
"The link to a friend was sent.","Ο σύνδεσμος εστάλει σε ένα φίλο."
"We found some problems with the data.","Βρήκαμε μερικά προβλήματα με τα δεδομένα."
"Some emails were not sent.","Ορισμένα emails δεν εστάλησαν."
"You've met your limit of %1 sends in an hour.","Έχετε φτάσει στο όριο του %1 αποστολή ανά ώρα."
"Please enter a sender name.","Παρακαλούμε εισάγετε ενα όνομα αποστολέα."
"Invalid Sender Email","Μη έγκυρο Email αποστολέα"
"Please enter a message.","Παρακαλώ γράψτε ένα μήνυμα."
"Please specify at least one recipient.","Καθορίστε τουλάχιστον ένα παραλήπτη."
"Please enter a correct recipient email address.","Παρακαλώ εισάγετε μία σωστή διεύθυνση email παραλήπτη."
"No more than %1 emails can be sent at a time.","Όχι περισσότερα από %1 emails μπορούν να σταλούν σε μια στιγμή."
"Please define a correct product instance.","Παρακαλώ καθορίστε μια παρουσία προϊόντος σωστά."
"Invalid Sender Information","Λάθος Πληροφορίες Αποστολέα"
"Please define the correct sender information.","Παρακαλώ καθορίστε τις πληροφορίες αποστολέα σωστά."
"IP Address","Διεύθυνση IP"
"Cookie (unsafe)","Cookie (μη ασφαλές)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Κατάργηση Παραλήπτη"
"Remove","Διαγραφή"
"Name","Όνομα"
"Email","Email"
"* Required Fields","* Απαιτούμενα πεδία"
"Sender","Αποστολέας"
"Message","Μήνυμα"
"Invitee","Προσκεκλημένος"
"Maximum %1 email addresses allowed.","Μέγιστες %1 διευθύνσεις email που επιτρέπονται."
"Add Invitee","Προσθέστε προσκεκλημένο"
"Send Email","Αποστολή Email"
"Back","Πίσω"
"Welcome, %name","Καλώς ήρθατε, %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name θέλει να μοιραστεί το προϊόν αυτό μαζί σας:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Αποστολή σε έναν φίλο"
"Email Templates","Πρότυπα Ηλεκτρονικού Ταχυδρομείου"
"Enabled","Ενεργό"
"Select Email Template","Επιλέξτε πρότυπο ηλεκτρονικού ταχυδρομείου"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Το επιλεγμένο πρότυπο Email βασίζεται στo μητρικό θέμα όταν έχει επιλεχθεί η επιλογή ""Default""."
"Allow for Guests","Επιτρέπεται για επισκέπτες"
"Max Recipients","Μεγ. Παραλήπτες"
"Max Products Sent in 1 Hour","Μεγ. Προϊόντα Αποστέλλονται σε 1 Ώρα"
"Limit Sending By","Όριο Αποστολής Από"
