"Page not found.","Không tìm thấy trang."
"You can't send messages more than %1 times an hour.","Bạn không thể gửi tin nhắn nhiều hơn %1 lần một giờ."
"The link to a friend was sent.","Các liên kết đến một người bạn đã được gửi."
"We found some problems with the data.","Chúng tôi tìm thấy một số vấn đề với dữ liệu."
"Some emails were not sent.","Một số email chưa được gửi."
"You've met your limit of %1 sends in an hour.","Bạn đã đạt giới hạn %1 lần gửi trong một giờ."
"Please enter a sender name.","Vui lòng nhập một tên người gửi."
"Invalid Sender Email","Email người gửi không hợp lệ"
"Please enter a message.","Vui lòng nhập một tin nhắn."
"Please specify at least one recipient.","Hãy chỉ ra ít nhất một người nhận."
"Please enter a correct recipient email address.","Vui lòng nhập một địa chỉ email người nhận chính xác."
"No more than %1 emails can be sent at a time.","Không có nhiều hơn %1 email có thể được gửi tại một thời điểm."
"Please define a correct product instance.","Xin vui lòng xác định một trường hợp sản phẩm đúng."
"Invalid Sender Information","Thông tin người gửi không hợp lệ"
"Please define the correct sender information.","Xin vui lòng xác định chính xác thông tin người gửi."
"IP Address","Địa chỉ IP"
"Cookie (unsafe)","Cookie (không an toàn)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Xoá người nhận"
"Remove","Loại bỏ"
"Name","Tên"
"Email","Email"
"* Required Fields","* Bắt buộc"
"Sender","Người gửi"
"Message","Tin nhắn"
"Invitee","Khách mời"
"Maximum %1 email addresses allowed.","Địa chỉ email %1 tối đa cho phép."
"Add Invitee","Thêm khách mời"
"Send Email","Gửi Email"
"Back","Trở lại"
"Welcome, %name","Chào mừng,%name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name muốn chia sẻ sản phẩm này với bạn:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Email cho bạn bè"
"Email Templates","Mẫu email"
"Enabled","Cho phép"
"Select Email Template","Chọn mẫu Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Mẫu Email được lựa chọn dựa trên chủ đề dự phòng khi tùy chọn ""Mặc định"" được chọn."
"Allow for Guests","Cho phép cho khách"
"Max Recipients","Người nhận tối đa"
"Max Products Sent in 1 Hour","Tối đa số sản phẩm gửi trong 1 giờ"
"Limit Sending By","Giới hạn gửi bởi"
