"Page not found.","Page introuvable."
"You can't send messages more than %1 times an hour.","Vous ne pouvez pas envoyer des messages plus que %1 fois une heure."
"The link to a friend was sent.","Le lien à un ami a été envoyé."
"We found some problems with the data.","Nous avons trouvé des problèmes avec les données."
"Some emails were not sent.","Certains emails n'ont pas été envoyés."
"You've met your limit of %1 sends in an hour.","Vous avez atteint votre limite de %1 envois en une heure."
"Please enter a sender name.","Veuillez saisir un nom d'expéditeur."
"Invalid Sender Email","L'email de l'expéditeur est invalide"
"Please enter a message.","Veuillez saisir un message."
"Please specify at least one recipient.","Veuillez saisir au moins un destinataire."
"Please enter a correct recipient email address.","Veuillez entrer une adresse e-mail de destinataire valide."
"No more than %1 emails can be sent at a time.","Il n'est pas possible d'envoyer plus de %1 emails à la fois."
"Please define a correct product instance.","Définissez une instance de produit correcte."
"Invalid Sender Information","Les informations de l'expéditeur sont invalides"
"Please define the correct sender information.","Définissez correctement les informations de l'expéditeur."
"IP Address","Adresse IP"
"Cookie (unsafe)","Cookie (non sécurisé)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Supprimer le destinataire"
"Remove","Supprimer"
"Name","Nom"
"Email","Courriel"
"* Required Fields","* Champs obligatoires"
"Sender","Expéditeur"
"Message","Message"
"Invitee","Invité(e)"
"Maximum %1 email addresses allowed.","%1 adresses mail maxi autorisées"
"Add Invitee","Ajouter un prix par groupe"
"Send Email","Envoyer un email"
"Back","Retour"
"Welcome, %name","Bienvenue %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name veut partager ce produit avec vous :"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Envoyer à un ami"
"Email Templates","Gabarits d'email"
"Enabled","Activé"
"Select Email Template","Sélectionner le gabarit d'email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Le gabarit d'email choisi est basé sur le thème parent lorsque l'option ""Défaut"" est sélectionnée."
"Allow for Guests","Autoriser pour les invités"
"Max Recipients","Nombre maxi de destinataires"
"Max Products Sent in 1 Hour","Nombre maxi de produits envoyés en 1 heure"
"Limit Sending By","Limiter l'envoi par"
