"Page not found.","Lapa nav atrasta."
"You can't send messages more than %1 times an hour.","You can't send messages more than %1 times an hour."
"The link to a friend was sent.","Saite draugam tika nosūtīta."
"We found some problems with the data.","We found some problems with the data."
"Some emails were not sent.","Atsevišķi e-pasti netika nosūtīti."
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"Please enter a sender name.","Please enter a sender name."
"Invalid Sender Email","Invalid Sender Email"
"Please enter a message.","Please enter a message."
"Please specify at least one recipient.","Please specify at least one recipient."
"Please enter a correct recipient email address.","Please enter a correct recipient email address."
"No more than %1 emails can be sent at a time.","No more than %1 emails can be sent at a time."
"Please define a correct product instance.","Please define a correct product instance."
"Invalid Sender Information","Nederīga nosūtītāja informācija"
"Please define the correct sender information.","Please define the correct sender information."
"IP Address","IP adrese"
"Cookie (unsafe)","Cookie (unsafe)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Remove Recipent"
"Remove","Dzēst"
"Name","Vārds"
"Email","E-pasts"
"* Required Fields","* obligātie lauki"
"Sender","Sūtītājs"
"Message","Ziņa"
"Invitee","Invitee"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Add Invitee","Add Invitee"
"Send Email","Sūtīt e-pastu"
"Back","Atpakaļ"
"Welcome, %name","Welcome, %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name wants to share this product with you:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Nosūtīt e-pastā draugam"
"Email Templates","E-pasta šabloni"
"Enabled","Ieslēgts"
"Select Email Template","Izvēlēties e-pasta šablonu"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-pasta šablons izvēlēts balstoties uz iepriekšējās tēmas, ja ir izvēlēta ""noklusētā"" opcija."
"Allow for Guests","Atļat viesiem"
"Max Recipients","Maksimālais saņēmēju skaits"
"Max Products Sent in 1 Hour","Maksimālais produktu skaits ko var nosūtīt 1 stundā"
"Limit Sending By","Limitēt sūtīšanu pēc"
