"Page not found.","ಪುಟವು ಕಂಡುಬಂದಿಲ್ಲ."
"You can't send messages more than %1 times an hour.","ನೀವು ಸಂದೇಶಗಳನ್ನು ಗಂಟೆಗೆ %1 ಕ್ಕಿಂತ ಹೆಚ್ಚು ಬಾರಿ ಕಳುಹಿಸಲಾಗುವುದಿಲ್ಲ."
"The link to a friend was sent.","The link to a friend was sent."
"We found some problems with the data.","ದತ್ತಾಂಶದೊಂದಿಗೆ ಕೆಲವು ತೊಂದರೆಗಳು ನಮಗೆ ಕಂಡುಬಂದಿವೆ."
"Some emails were not sent.","ಕೆಲವು ಮಿಂಚೆಗಳನ್ನು ಕಳುಹಿಸಿಲ್ಲ."
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"Please enter a sender name.","ದಯವಿಟ್ಟು ರವಾನೆದಾರರ ಹೆಸರನ್ನು ಸೂಚಿಸಿ."
"Invalid Sender Email","Invalid Sender Email"
"Please enter a message.","ದಯವಿಟ್ಟು ಸಂದೇಶವನ್ನು ನಮೂದಿಸಿ."
"Please specify at least one recipient.","Please specify at least one recipient."
"Please enter a correct recipient email address.","ದಯವಿಟ್ಟು ಸ್ವೀಕೃತಿದಾರರ ಸರಿಯಾದ ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ."
"No more than %1 emails can be sent at a time.","No more than %1 emails can be sent at a time."
"Please define a correct product instance.","Please define a correct product instance."
"Invalid Sender Information","Invalid Sender Information"
"Please define the correct sender information.","Please define the correct sender information."
"IP Address","IP ವಿಳಾಸ"
"Cookie (unsafe)","Cookie (unsafe)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","ಸ್ವೀಕೃತಿದಾರರನ್ನು ತೆಗೆದುಹಾಕಿ"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Name","ಹೆಸರು"
"Email","ಮಿಂಚೆ"
"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"Sender","ರವಾನೆದಾರ"
"Message","ಸಂದೇಶ"
"Invitee","ಆಹ್ವಾನಿತರು"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Add Invitee","ಆಹ್ವಾನಿತರನ್ನು ಸೇರಿಸಿ"
"Send Email","ಮಿಂಚೆ ಕಳುಹಿಸಿ"
"Back","ಹಿಂದೆ"
"Welcome, %name","ಸುಸ್ವಾಗತ, %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name wants to share this product with you:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","ಗೆಳೆಯನಿಗೆ ಮಿಂಚೆ ಕಳಿಸಿ"
"Email Templates","ಮಿಂಚೆಯ ಮಾದರಿಗಳು"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Select Email Template","Select Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Allow for Guests","ಅತಿಥಿಗಳನ್ನು ಅನುಮತಿಸಿ"
"Max Recipients","ಗರಿಷ್ಟ ಸ್ವೀಕೃತಿದಾರರು"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Limit Sending By","Limit Sending By"
